date,open,high,low,close,volume
2025-09-17,61.0,64.05,59.0,64.05,6168175
2025-09-18,63.25,63.25,60.84,60.84,2140022
2025-09-19,59.0,59.69,57.79,57.79,1059436
2025-09-22,54.9,60.44,54.9,59.88,1823405
2025-09-23,58.5,58.9,56.88,56.88,713918
2025-09-24,55.01,56.99,54.03,54.03,395548
2025-09-25,53.7,56.73,52.0,54.99,1171624
2025-09-26,56.69,56.69,52.24,53.16,308290
2025-09-29,53.1,54.16,52.11,53.45,125967
2025-09-30,53.25,53.25,51.25,51.79,207620
2025-10-01,52.98,52.98,49.51,51.28,634755
2025-10-03,52.43,52.8,50.1,52.04,278559
2025-10-06,52.04,52.04,50.62,50.95,331000
2025-10-07,51.0,54.0,51.0,51.87,600199
2025-10-08,51.95,53.53,49.41,50.73,370623
2025-10-09,51.0,51.16,49.56,50.32,228305
2025-10-10,50.54,50.8,49.8,50.3,136465
2025-10-13,50.3,50.3,49.1,49.19,141142
2025-10-14,49.79,49.79,46.49,48.04,390207
2025-10-15,48.01,48.66,44.3,44.67,923285
2025-10-16,44.89,46.4,42.91,43.37,1351422
2025-10-17,43.37,44.2,42.52,42.73,353491
2025-10-20,43.8,43.8,40.48,42.45,460982
2025-10-21,42.8,46.0,42.66,45.24,256434
2025-10-23,45.24,47.7,45.07,45.41,511084
2025-10-24,45.0,46.14,43.5,45.03,575558
2025-10-27,45.0,45.28,43.12,43.49,262652
2025-10-28,43.5,44.95,42.03,42.92,363714
2025-10-29,43.3,43.3,42.3,42.77,167745
2025-10-30,42.66,43.4,42.6,43.08,100218
2025-10-31,43.08,44.93,42.56,43.87,339930
2025-11-03,43.88,45.0,43.64,44.7,185142
2025-11-04,44.95,44.95,44.08,44.53,258480
2025-11-06,44.5,45.35,43.6,44.06,424057
2025-11-07,43.6,44.75,43.0,44.49,273938
2025-11-10,44.99,44.99,43.25,43.52,122233
2025-11-11,43.74,44.24,43.1,43.71,106142
2025-11-12,43.99,44.0,43.41,43.52,79995
2025-11-13,43.47,43.89,42.8,43.05,126445
2025-11-14,43.66,43.66,42.4,42.64,109705
