symbol,instrument_token,name,generated_date
MAHLOG,98561,MAHINDRA LOGISTIC,2026-06-26
GLOBE,100609,GLOBE ENTERPRISE (I),2026-06-26
BEML,101121,BEML,2026-06-26
NIACL,102145,THE NEW INDIA ASSU CO,2026-06-26
BERGEPAINT,103425,BERGER PAINTS (I),2026-06-26
BEPL,107265,BHANSALI ENG. POLYMERS LT,2026-06-26
BHARATFORG,108033,BHARAT FORGE,2026-06-26
BHARATGEAR,109057,BHARAT GEARS,2026-06-26
IFGLEXPOR,111617,IFGL REFRACTORIES,2026-06-26
BHEL,112129,BHEL,2026-06-26
5PAISA,113921,5PAISA CAPITAL,2026-06-26
HDFCLIFE,119553,HDFC LIFE INS CO,2026-06-26
OSWALGREEN,120577,OSWAL GREENTECH,2026-06-26
3MINDIA,121345,3M INDIA,2026-06-26
BIRLACORPN,122881,BIRLA CORPORATION,2026-06-26
ICEMAKE,125185,ICE MAKE REFRIGERAT,2026-06-26
BLUEDART,126721,BLUE DART EXPRESS,2026-06-26
MAZDOCK,130305,MAZAGON DOCK SHIPBUIL,2026-06-26
BOMDYEING,131329,BOMBAY DYEING & MFG. CO L,2026-06-26
ICICIB22,133633,BHARAT 22 ETF,2026-06-26
BPCL,134657,BHARAT PETROLEUM CORP  LT,2026-06-26
UTIAMC,134913,UTI ASSET MNGMT CO,2026-06-26
BPL,135681,BPL,2026-06-26
BRITANNIA,140033,BRITANNIA INDUSTRIES,2026-06-26
BSL,143105,BSL,2026-06-26
CANFINHOME,149249,CAN FIN HOMES,2026-06-26
GRAPHITE,151553,GRAPHITE INDIA,2026-06-26
CARBORUNIV,152321,CARBORUNDUM UNIVERSAL,2026-06-26
CENTENKA,158465,CENTURY ENKA,2026-06-26
ABREL,160001,ADITYA BIRLA REAL EST,2026-06-26
CESC,160769,CESC,2026-06-26
IGARASHI,162305,IGARASHI MOTORS INDIA,2026-06-26
CHAMBLFERT,163073,CHAMBAL FERTILIZERS,2026-06-26
DNAMEDIA,164097,DILIGENT MEDIA CORP,2026-06-26
EXIDEIND,173057,EXIDE INDUSTRIES,2026-06-26
CHOLAFIN,175361,CHOLAMANDALAM IN & FIN CO,2026-06-26
CIPLA,177665,CIPLA,2026-06-26
HEMIPROP,179457,HEMISPHERE PROP IND,2026-06-26
DICIND,179969,DIC INDIA,2026-06-26
SHRADHA,181249,SHRADHA REALTY,2026-06-26
SHALBY,182785,SHALBY,2026-06-26
SUDARCOLOR,183041,SUDARSHAN COLORNT IND,2026-06-26
SBIETFPB,184833,SBI ETF PRIVATE BANK ETF,2026-06-26
COROMANDEL,189185,COROMANDEL INTERNTL.,2026-06-26
SBIETFIT,189441,SBI ETF IT ETF,2026-06-26
COSMOFIRST,189953,COSMO FIRST,2026-06-26
CRISIL,193793,CRISIL,2026-06-26
CGPOWER,194561,CG POWER AND IND SOL,2026-06-26
DABUR,197633,DABUR INDIA,2026-06-26
KEEPLEARN,199169,DSJ KEEP LEARNING,2026-06-26
DALMIASUG,199937,DALMIA BHARAT SUG IN,2026-06-26
SHIVATEX,205825,SHIVA TEXYARN,2026-06-26
DCMSHRIRAM,207617,DCM SHRIRAM,2026-06-26
DCW,209153,DCW,2026-06-26
DEEPAKFERT,211713,DEEPAK FERTILIZERS & PETR,2026-06-26
DHAMPURSUG,219393,DHAMPUR SUGAR MILLS,2026-06-26
DRREDDY,225537,DR. REDDY S LABORATORIES,2026-06-26
EICHERMOT,232961,EICHER MOTORS,2026-06-26
EQUITASBNK,233729,EQUITAS SMALL FIN BNK,2026-06-26
EIDPARRY,234497,EID PARRY INDIA,2026-06-26
EIHOTEL,235265,EIH - OBEROI HOTELS,2026-06-26
ORCHPHARMA,237057,ORCHID PHARMA,2026-06-26
ELECTCAST,237569,ELECTROSTEEL CASTINGS,2026-06-26
DPABHUSHAN,239617,D. P. ABHUSHAN,2026-06-26
ELGIEQUIP,239873,ELGI EQUIPMENTS,2026-06-26
PGHL,240641,PROCTER & GAMBLE HEALTH L,2026-06-26
ESABINDIA,244481,ESAB INDIA,2026-06-26
ESCORTS,245249,ESCORTS KUBOTA,2026-06-26
EPL,251137,EPL,2026-06-26
EVERESTIND,254209,EVEREST INDUSTRIES,2026-06-26
FACT,258049,FACT,2026-06-26
SCHAEFFLER,258817,SCHAEFFLER INDIA,2026-06-26
