symbol,instrument_token,name,generated_date
JAYAGROGN,1034497,JAYANT AGRO ORGANICS,2026-06-26
PANACEABIO,1038081,PANACEA BIOTEC,2026-06-26
CUBEXTUB,1040385,CUBEX TUBINGS,2026-06-26
MARICO,1041153,MARICO,2026-06-26
SILINV,1050881,SIL INVESTMENTS,2026-06-26
SAMBHAAV,1056513,SAMBHAAV MEDIA,2026-06-26
REGENCERAM,1057281,REGENCY CERAMICS,2026-06-26
BIOFILCHEM,1058817,BIOFIL CHEM & PHARMA,2026-06-26
KEYFINSERV,1064193,KEYNOTE FIN SERV,2026-06-26
NORBTEAEXP,1064961,NORBEN TEA & EXPORTS,2026-06-26
ZENITHEXPO,1069057,ZENITH EXPORTS,2026-06-26
SANGAMIND,1071105,SANGAM (INDIA),2026-06-26
SOMATEX,1075457,SOMA TEXTILES & INDUST LT,2026-06-26
MOTHERSON,1076225,SAMVRDHNA MTHRSN INTL,2026-06-26
VISAKAIND,1080577,VISAKA INDUSTRIES,2026-06-26
ZFSTEERING,1082625,Z F STEERING GEAR (I),2026-06-26
WENDT,1084161,WENDT (INDIA),2026-06-26
HDFCAMC,1086465,HDFC AMC,2026-06-26
DENORA,1095425,DE NORA INDIA,2026-06-26
SHRIRAMFIN,1102337,SHRIRAM FINANCE,2026-06-26
PUNJABCHEM,1112065,PUNJAB CHEM & CROP PROT L,2026-06-26
SENSEXIETF,1120769,ICICI PRUDENTIAL BSE SENSEX ETF,2026-06-26
GULFOILLUB,1124097,GULF OIL LUB. IND.,2026-06-26
MIRZAINT,1124865,MIRZA INTERNATIONAL LIMIT,2026-06-26
JAGSNPHARM,1128961,JAGSONPAL PHARMACEUTICALS,2026-06-26
CREDITACC,1131777,CREDITACCESS GRAMEEN,2026-06-26
INDIANCARD,1132033,INDIAN CARD CLOTHING CO.,2026-06-26
HAWKINCOOK,1137665,HAWKINS COOKERS,2026-06-26
ELECTHERM,1144065,ELECTROTHERM (I),2026-06-26
ELPROINTL,1144577,ELPRO INTERNATIONAL,2026-06-26
AARTIDRUGS,1147137,AARTI DRUGS,2026-06-26
ALKYLAMINE,1148673,ALKYL AMINES CHEM.,2026-06-26
MPHASIS,1152769,MPHASIS,2026-06-26
SIGIND,1157633,SIGNET INDUSTRIES,2026-06-26
DYNAMATECH,1158401,DYNAMATIC TECHNOLOGIES,2026-06-26
NEXT50IETF,1159425,ICICI PRUDENTIAL NIFTY NEXT 50 ETF,2026-06-26
GUJRAFFIA,1164289,GUJARAT RAFFIA INDUST,2026-06-26
RUCHINFRA,1168897,RUCHI INFRASTRUCTURE,2026-06-26
ATLASCYCLE,1169409,ATLAS CYCLE (HARYANA),2026-06-26
RAMCOIND,1174273,RAMCO INDUSTRIES,2026-06-26
KOTHARIPET,1176065,KOTHARI PETROCHEM,2026-06-26
HERITGFOOD,1177089,HERITAGE FOODS,2026-06-26
SBCL,1191937,SHIVALIK BIMETAL CON.,2026-06-26
BANKBARODA,1195009,BANK OF BARODA,2026-06-26
SONACOMS,1199105,SONA BLW PRECISION FRGS L,2026-06-26
SHYAMMETL,1201409,SHYAM METALICS AND ENGY L,2026-06-26
GAIL,1207553,GAIL (INDIA),2026-06-26
SKMEGGPROD,1211393,SKM EGG PROD EXPORT(I) LT,2026-06-26
BANKINDIA,1214721,BANK OF INDIA,2026-06-26
INDNIPPON,1215233,INDIA NIPPON ELECT ,2026-06-26
CONCOR,1215745,CONTAINER CORP OF IND,2026-06-26
INDRAMEDCO,1216257,INDRAPRASTHA MEDICAL CORP,2026-06-26
KCPSUGIND,1231105,KCP SUGAR IND CORP,2026-06-26
DODLA,1234433,DODLA DAIRY,2026-06-26
LIQUIDIETF,1238529,ICICI PRUDENTIAL BSE LIQUID RATE ETF - IDCW,2026-06-26
SNOWMAN,1239809,SNOWMAN LOGISTICS,2026-06-26
KIMS,1240833,KRISHNA INST OF MED SCI L,2026-06-26
INDSWFTLAB,1246721,IND SWIFT LABORATORIES LT,2026-06-26
SAREGAMA,1252353,SAREGAMA INDIA,2026-06-26
FDC,1253889,FDC,2026-06-26
ENGINERSIN,1256193,ENGINEERS INDIA,2026-06-26
MADRASFERT,1257217,MADRAS FERTILISERS,2026-06-26
IPL,1263105,INDIA PESTICIDES,2026-06-26
ADROITINFO,1267969,ADROIT INFOTECH,2026-06-26
GANGAFORGE,1268993,GANGA FORGING,2026-06-26
ICICIBANK,1270529,ICICI BANK,2026-06-26
PHARMABEES,1273089,NIPPON INDIA NIFTY PHARMA ETF,2026-06-26
IRCON,1276417,IRCON INTERNATIONAL,2026-06-26
SHARDACROP,1277953,SHARDA CROPCHEM,2026-06-26
CLEAN,1292545,CLEAN SCIENCE & TECH,2026-06-26
GRINFRA,1293825,G R INFRAPROJECTS,2026-06-26
ETERNAL,1304833,ETERNAL - ZOMATO,2026-06-26
KPIGREEN,1307649,KPI GREEN ENERGY,2026-06-26
SGIL,1309185,SYNERGY GREEN IND.,2026-06-26
JAICORPLTD,1316609,JAI CORP,2026-06-26
TATVA,1321473,TATVA CHIN PHARM CHEM,2026-06-26
SBIETFCON,1323009,SBI ETF CONSUMPTION ETF,2026-06-26
STYLAMIND,1327617,STYLAM INDUSTRIES,2026-06-26
KOVAI,1329153,KOVAI MEDICAL CENTER & HO,2026-06-26
ANTGRAPHIC,1329665,ANTARCTICA,2026-06-26
GRAUWEIL,1331201,GRAUER & WEIL IND,2026-06-26
GMDCLTD,1332225,GUJARAT MINERAL DEV CORP,2026-06-26
BFSI,1336321,MIRAE ASSET NIFTY FINANCIAL SERVICES ETF,2026-06-26
MAHAPEXLTD,1341185,MAHA RASHTRA APEX COPR. L,2026-06-26
INDUSINDBK,1346049,INDUSIND BANK,2026-06-26
PDSL,1347585,PDS,2026-06-26
ALIVUS,1347841,ALIVUS LIFE SCIENCES,2026-06-26
ROLEXRINGS,1351425,ROLEX RINGS,2026-06-26
FMCGIETF,1358337,ICICI PRUDENTIAL NIFTY FMCG ETF,2026-06-26
UGROCAP,1360129,UGRO CAPITAL,2026-06-26
EXXARO,1370113,EXXARO TILES,2026-06-26
KRSNAA,1371905,KRSNAA DIAGNOSTICS,2026-06-26
WINDLAS,1373697,WINDLAS BIOTECH,2026-06-26
DEVYANI,1375489,DEVYANI INTERNATIONAL,2026-06-26
ASAHIINDIA,1376769,ASAHI INDIA GLASS,2026-06-26
EPIGRAL,1377793,EPIGRAL,2026-06-26
AAVAS,1378561,AAVAS FINANCIERS,2026-06-26
MOL,1380865,MEGHMANI ORGANICS,2026-06-26
CARTRADE,1384193,CARTRADE TECH,2026-06-26
NUVOCO,1389057,NUVOCO VISTAS CORP,2026-06-26
TRIGYN,1389569,TRIGYN TECHNOLOGIES,2026-06-26
APTUS,1391361,APTUS VALUE HSG FIN I,2026-06-26
CHEMPLASTS,1394945,CHEMPLAST SANMAR,2026-06-26
GRSE,1401601,GARDEN REACH SHIP&ENG,2026-06-26
YUKEN,1408257,YUKEN INDIA,2026-06-26
SERVOTECH,1409793,SERVOTECH REN POW SYS,2026-06-26
JAIPURKURT,1412097,NANDANI CREATION,2026-06-26
KOTHARIPRO,1415169,KOTHARI PRODUCTS,2026-06-26
ABMINTLLTD,1420545,ABM INTERNATIONAL,2026-06-26
ACUTAAS,1427969,ACUTAAS CHEMICALS,2026-06-26
VIJAYA,1429761,VIJAYA DIAGNOSTIC CEN,2026-06-26
INTLCONV,1435137,INTL CONVEYORS,2026-06-26
ASTRAZEN,1436161,ASTRAZENECA PHARMA IND LT,2026-06-26
GANESHBE,1437185,GANESH BENZOPLAST,2026-06-26
CEMPRO,1439233,CEMINDIA PROJECTS,2026-06-26
PAR,1441537,PAR DRUGS AND CHEM,2026-06-26
J&KBANK,1442049,J & K BANK,2026-06-26
SHANTI,1446401,SHANTI OVERSEAS INDIA,2026-06-26
ARCHIES,1456129,ARCHIES,2026-06-26
CUB,1459457,CITY UNION BANK,2026-06-26
AXISCETF,1467393,AXIS NIFTY INDIA CONSUMPTION ETF,2026-06-26
CYIENT,1471489,CYIENT,2026-06-26
SANSERA,1472257,SANSERA ENGINEERING,2026-06-26
MASPTOP50,1480193,MIRAE ASSET S&P 500 TOP 50 ETF,2026-06-26
BANKNIFTY1,1497857,KOTAK NIFTY BANK ETF,2026-06-26
LAGNAM,1501441,LAGNAM SPINTEX,2026-06-26
AXISBANK,1510401,AXIS BANK,2026-06-26
PARAS,1513217,PARAS DEF AND SPCE TECH L,2026-06-26
INTELLECT,1517057,INTELLECT DESIGN ARENA,2026-06-26
MONTECARLO,1520129,MONTE CARLO FASHIONS,2026-06-26
SOUTHBANK,1522689,THE SOUTH INDIAN BANK,2026-06-26
BSLSENETFG,1524993,ADITYA BIRLA SUN LIFE BSE SENSEX ETF,2026-06-26
COASTCORP,1537537,COASTAL CORPORATION,2026-06-26
ABSLAMC,1540609,ADIT BIRL SUN LIF AMC,2026-06-26
CYBERTECH,1549057,CYBERTECH SYSTEMS & SOFTW,2026-06-26
LICNETFGSC,1551873,LIC MF NIFTY 8-13 YR G-SEC ETF,2026-06-26
ATGL,1552897,ADANI TOTAL GAS,2026-06-26
AIROLAM,1553409,AIRO LAM,2026-06-26
GOODLUCK,1568001,GOODLUCK INDIA,2026-06-26
DIGJAMLMTD,1568513,DIGJAM,2026-06-26
PANSARI,1572097,PANSARI DEVELOPERS,2026-06-26
ARTNIRMAN,1575937,ART NIRMAN,2026-06-26
BHAGCHEM,1577985,BHAGIRADHA CHEM & INDS L,2026-06-26
FCL,1586689,FINEOTEX CHEMICAL,2026-06-26
CAMLINFINE,1591297,CAMLIN FINE SCIENCES,2026-06-26
SIKKO,1591809,SIKKO INDUSTRIES,2026-06-26
DTIL,1594113,DHUNSERI TEA & IND.,2026-06-26
3IINFOLTD,1595393,3I INFOTECH,2026-06-26
SELMC,1603073,SEL MANUFACTURING CO,2026-06-26
MEDICAMEQ,1607169,MEDICAMEN BIOTECH,2026-06-26
GULPOLY,1609217,GULSHAN POLYOLS,2026-06-26
HEALTHY,1612033,ADITYA BIRLA SUN LIFE NIFTY HEALTHCARE ETF,2026-06-26
APOLSINHOT,1613313,APOLLO SINDOORI HOTEL,2026-06-26
NIFTYETF,1626369,MIRAE ASSET NIFTY 50 ETF,2026-06-26
NATIONALUM,1629185,NATIONAL ALUMINIUM CO - NALCO,2026-06-26
CCHHL,1634561,COUNTRY CLUB HOSP HOL,2026-06-26
LAMBODHARA,1640193,LAMBODHARA TEXTILES,2026-06-26
TECHNOE,1649921,TECHNO ELEC & ENG CO.,2026-06-26
CONSUMIETF,1650177,ICICI PRUDENTIAL NIFTY INDIA CONSUMPTION ETF,2026-06-26
TECH,1654273,ADITYA BIRLA SUN LIFE NIFTY IT ETF,2026-06-26
IRIS,1661185,IRIS REGTECH SOLUTION,2026-06-26
GRPLTD,1675009,GRP,2026-06-26
NYKAA,1675521,FSN E COMMERCE VENTURES,2026-06-26
LAXMICOT,1681409,LAXMI COTSPIN,2026-06-26
FINOPB,1684225,FINO PAYMENTS BANK,2026-06-26
SONATSOFTW,1688577,SONATA SOFTWARE,2026-06-26
GENUSPAPER,1689601,GENUS P&B,2026-06-26
EQUAL50ADD,1691137,DSP NIFTY 50 EQUAL WEIGHT ETF,2026-06-26
SJS,1700609,SJS ENTERPRISES,2026-06-26
POLICYBZR,1703937,PB FINTECH,2026-06-26
FOODSIN,1708289,FOODS & INNS,2026-06-26
PAYTM,1716481,ONE 97 COMMUNICATIONS,2026-06-26
IVC,1718017,IL&FS INVESTMENT MANAGERS,2026-06-26
MOLDTKPAC,1718529,MOLD-TEK PACKAGING,2026-06-26
SAPPHIRE,1719809,SAPPHIRE FOODS INDIA,2026-06-26
JINDALSTEL,1723649,JINDAL STEEL,2026-06-26
NIPPOBATRY,1736193,INDO-NATIONAL,2026-06-26
SBC,1738753,SBC EXPORTS,2026-06-26
STEELCAS,1741569,STEELCAST,2026-06-26
LATENTVIEW,1745409,LATENT VIEW ANALYTICS,2026-06-26
FOCUS,1750017,FOCUS LIGHTG & FIXTRS,2026-06-26
SMLT,1751809,SARTHAK METALS,2026-06-26
GREENLAM,1753089,GREENLAM INDUSTRIES,2026-06-26
BAJAJHCARE,1756929,BAJAJ HEALTHCARE,2026-06-26
VISHNU,1768449,VISHNU CHEMICALS,2026-06-26
RPPL,1769729,RAJSHREE POLYPACK,2026-06-26
TARSONS,1777409,TARSONS PRODUCTS,2026-06-26
GANECOS,1777665,GANESHA ECOSPHERE,2026-06-26
LINC,1779457,LINC,2026-06-26
GOCOLORS,1782785,GO FASHION INDIA,2026-06-26
DMCC,1785089,DMCC SPECIALITY CHEMICALS,2026-06-26
ICDSLTD,1786113,ICDS,2026-06-26
BSOFT,1790465,BIRLASOFT,2026-06-26
ASIANENE,1799681,ASIAN ENERGY SERVICES,2026-06-26
HESTERBIO,1804289,HESTER BIOSCIENCES,2026-06-26
ACCELYA,1805569,ACCELYA SOLN INDIA,2026-06-26
MAHKTECH,1810945,MIRAE ASSET HANG SENG TECH ETF,2026-06-26
STARHEALTH,1813249,STAR HEALTH & AL INS CO L,2026-06-26
TEGA,1818881,TEGA INDUSTRIES,2026-06-26
JMA,1819905,JULLUNDUR MOT AGENCY,2026-06-26
ANANDRATHI,1829121,ANAND RATHI WEALTH,2026-06-26
MICEL,1835265,MIC ELECTRONICS,2026-06-26
RATEGAIN,1837313,RATEGAIN TRAVEL TECHN,2026-06-26
BBETF0432,1842177,BHARAT BOND ETF - APRIL 2032,2026-06-26
SHRIRAMPPS,1843201,SHRIRAM PROPERTIES,2026-06-26
JETFREIGHT,1846017,JET FREIGHT LOGISTICS,2026-06-26
SBIETFQLTY,1847809,SBI NIFTY 200 QUALITY 30 ETF,2026-06-26
MAPMYINDIA,1850113,C.E. INFO SYSTEMS,2026-06-26
HCLTECH,1850625,HCL TECHNOLOGIES,2026-06-26
METROBRAND,1853953,METRO BRANDS,2026-06-26
MEDPLUS,1857025,MEDPLUS HEALTH SERV,2026-06-26
JTLIND,1865473,JTL INDUSTRIES,2026-06-26
DCMSRIND,1875201,DCM SHRIRAM IND,2026-06-26
ABSLNN50ET,1878785,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF,2026-06-26
SETFNN50,1882369,SBI NIFTY NEXT 50 ETF,2026-06-26
DATAPATTNS,1883649,DATA PATTERNS INDIA,2026-06-26
SETFNIFBK,1884417,SBI NIFTY BANK ETF,2026-06-26
STAR,1887745,STRIDES PHARMA SCI,2026-06-26
HPAL,1888257,HP ADHESIVES,2026-06-26
SUPRIYA,1891841,SUPRIYA LIFESCIENCE,2026-06-26
GLENMARK,1895937,GLENMARK PHARMACEUTICALS,2026-06-26
NILASPACES,1897217,NILA SPACES,2026-06-26
ALPHA,1897473,KOTAK NIFTY ALPHA 50 ETF,2026-06-26
MANAKCOAT,1897729,MAN COAT METAL & IND,2026-06-26
MANAKALUCO,1899521,MANAK ALUMINIUM CO.,2026-06-26
MONQ50,1900033,MOTILAL OSWAL NASDAQ Q 50 ETF,2026-06-26
HECPROJECT,1900801,HEC INFRA PROJECTS,2026-06-26
NIFTYADD,1907457,DSP NIFTY 50 ETF,2026-06-26
MIDQ50ADD,1908737,DSP NIFTY MIDCAP 150 QUALITY 50 ETF,2026-06-26
HAVISHA,1908993,SRI HAVISHA HOSP & INFR L,2026-06-26
WOCKPHARMA,1921537,WOCKHARDT,2026-06-26
ZENTEC,1922049,ZEN TECHNOLOGIES,2026-06-26
TREJHARA,1924609,TREJHARA SOLUTIONS,2026-06-26
LCCINFOTEC,1927425,LCC INFOTECH,2026-06-26
NRBBEARING,1933569,NRB BEARING,2026-06-26
CMSINFO,1946369,CMS INFO SYSTEMS,2026-06-26
SHREERAMA,1952513,SHREE RAMA MULTI TECH,2026-06-26
IMAGICAA,1964033,IMAGICAAWORLD ENT,2026-06-26
MONARCH,1965825,MONARCH NETWORTH CAP,2026-06-26
BCONCEPTS,1991681,BRAND CONCEPTS,2026-06-26
WEL,2005761,WONDER ELECTRICALS,2026-06-26
NETF,2006529,TATA NIFTY 50 ETF,2026-06-26
AUTOIETF,2008065,ICICI PRUDENTIAL NIFTY AUTO ETF,2026-06-26
BIL,2009089,BHARTIYA INTERNATIONAL,2026-06-26
RAMCOSYS,2009857,RAMCO SYSTEMS,2026-06-26
INOXWIND,2010113,INOX WIND,2026-06-26
GVPIL,2012673,GE POWER INDIA,2026-06-26
AUTOBEES,2017281,NIPPON INDIA NIFTY AUTO ETF,2026-06-26
MHLXMIRU,2018817,MAHALAXMI RUBTECH,2026-06-26
LFIC,2022913,LAKSHMI FIN IND CORP,2026-06-26
ZYDUSLIFE,2029825,ZYDUS LIFESCIENCES,2026-06-26
AVANTIFEED,2031617,AVANTI FEEDS,2026-06-26
SILVERIETF,2033153,ICICI PRUDENTIAL SILVER ETF,2026-06-26
MALLCOM,2039041,MALLCOM (INDIA),2026-06-26
MAKEINDIA,2042625,MIRAE ASSET NIFTY INDIA MANUFACTURING ETF,2026-06-26
GRWRHITECH,2043393,GARWARE HI-TECH FILMS,2026-06-26
SILVER,2048769,ADITYA BIRLA SUN LIFE SILVER ETF,2026-06-26
CINEVISTA,2054145,CINEVISTA,2026-06-26
MAHLIFE,2060801,MAHINDRA LIFESPACE DEVLTD,2026-06-26
KTKBANK,2061825,KARNATAKA BANK,2026-06-26
DALBHARAT,2067201,DALMIA BHARAT,2026-06-26
MIDCAP,2067713,KOTAK NIFTY MIDCAP 50 ETF,2026-06-26
SILVERBEES,2068481,NIPPON INDIA SILVER ETF,2026-06-26
CROWN,2069249,CROWN LIFTERS,2026-06-26
AWL,2076161,AWL AGRI BUSINESS,2026-06-26
RPSGVENT,2078465,RPSG VENTURES,2026-06-26
AJANTPHARM,2079745,AJANTA PHARMA,2026-06-26
BLBLIMITED,2081793,BLB,2026-06-26
DEVIT,2085377,DEV INFO TECHNOLOGY,2026-06-26
MEGASTAR,2087169,MEGASTAR FOODS,2026-06-26
FIBERWEB,2088705,FIBERWEB INDIA,2026-06-26
SPENCERS,2089729,SPENCER S RETAIL,2026-06-26
MANYAVAR,2090753,VEDANT FASHIONS,2026-06-26
SAGARDEEP,2092801,SAGARDEEP ALLOYS,2026-06-26
MOMOMENTUM,2094593,MOTILAL OSWAL NIFTY 200 MOMENTUM 30 ETF,2026-06-26
GOLDBEINAV,2106113,GOLDBEES NAV,2026-06-26
GOLDSHINAV,2106881,GOLDSHARE NAV,2026-06-26
ICICISINAV,2107649,ICICISILVE NAV,2026-06-26
IDBIGOINAV,2108161,IDBIGOLD NAV,2026-06-26
IVZINGINAV,2108417,IVZINGOLD NAV,2026-06-26
NETFSIINAV,2108673,NETFSILVER NAV,2026-06-26
SILVERINAV,2108929,SILVER NAV,2026-06-26
AXISGOINAV,2109185,AXISGOLD NAV,2026-06-26
BSLGOLINAV,2109441,BSLGOLDETF NAV,2026-06-26
HDFCMFINAV,2109697,HDFCMFGETF NAV,2026-06-26
ICICIGINAV,2110721,ICICIGOLD NAV,2026-06-26
KOTAKGINAV,2112513,KOTAKGOLD NAV,2026-06-26
QGOLDHINAV,2113793,QGOLDHALF NAV,2026-06-26
SETFGOINAV,2114049,SETFGOLD NAV,2026-06-26
BLUESTARCO,2127617,BLUE STAR,2026-06-26
GSEC5IETF,2135553,ICICI PRUDENTIAL NIFTY 5 YR BENCHMARK G-SEC ETF,2026-06-26
MIDCAPETF,2153729,MIRAE ASSET NIFTY MIDCAP 150 ETF,2026-06-26
VIPULLTD,2156545,VIPUL,2026-06-26
XELPMOC,2170113,XELPMOC DESIGN & TECH,2026-06-26
TVSMOTOR,2170625,TVS MOTOR COMPANY ,2026-06-26
MID150BEES,2177537,NIPPON INDIA ETF NIFTY MIDCAP 150,2026-06-26
GATEWAY,2178561,GATEWAY DISTRIPARKS,2026-06-26
GMRP&UI,2183425,GMR POW AND URBAN INFRA L,2026-06-26
CHALET,2187777,CHALET HOTELS,2026-06-26
NLCINDIA,2197761,NLC INDIA,2026-06-26
MSUMI,2200577,MOTHERSON SUMI WRNG IND L,2026-06-26
INDOBORAX,2205185,INDO BORAX & CHEMICAL,2026-06-26
LOWVOL1,2209793,KOTAK NIFTY 100 LOW VOLATILITY 30 ETF,2026-06-26
MOLOWVOL,2215425,MOTILAL OSWAL BSE LOW VOLATILITY ETF,2026-06-26
VRLLOG,2226177,VRL LOGISTICS,2026-06-26
SHAILY,2234113,SHAILY ENG PLASTICS,2026-06-26
PNBGILTS,2236417,PNB GILTS,2026-06-26
OBCL,2252033,ORISSA BENGAL CARRIER,2026-06-26
SONAMLTD,2254337,SONAM,2026-06-26
PRIVISCL,2259201,PRIVI SPECIALITY CHE,2026-06-26
AVROIND,2259713,AVRO INDIA,2026-06-26
GAEL,2259969,GUJARAT AMBUJA EXPORTS LT,2026-06-26
BCG,2261249,BRIGHTCOM GROUP,2026-06-26
USHAMART,2263041,USHA MARTIN,2026-06-26
CHOICEIN,2269697,CHOICE INTERNATIONAL,2026-06-26
TNIDETF,2273793,TATA NIFTY INDIA DIGITAL EXCHANGE TRADED FUND,2026-06-26
VERANDA,2275841,VERANDA LEARNING SOL,2026-06-26
E2E,2287873,E2E NETWORKS,2026-06-26
RITCO,2289665,RITCO LOGISTICS,2026-06-26
ELDEHSG,2291969,ELDECO HSG & IND,2026-06-26
TTML,2292225,TATA TELESERV(MAHARASTRA),2026-06-26
HARDWYN,2294273,HARDWYN INDIA,2026-06-26
HARIOMPIPE,2295809,HARIOM PIPE INDUSTRIES L,2026-06-26
NOVARTIND,2305793,NOVARTIS INDIA,2026-06-26
ANUP,2307585,THE ANUP ENGINEERING,2026-06-26
VCL,2309121,VAXTEX COTFAB,2026-06-26
UFO,2313985,UFO MOVIEZ INDIA,2026-06-26
AGROPHOS,2315777,AGRO PHOS INDIA,2026-06-26
ROTO,2316545,ROTO PUMPS,2026-06-26
PIXTRANS,2326273,PIX TRANSMISSIONS,2026-06-26
ARVINDFASN,2332417,ARVIND FASHIONS,2026-06-26
TIPSMUSIC,2333953,TIPS MUSIC,2026-06-26
BALAJITELE,2344449,BALAJI TELEFILMS,2026-06-26
SNXT50BETA,2347009,UTI BSE SENSEX NEXT 50 ETF,2026-06-26
TPLPLASTEH,2360065,TPL PLASTECH,2026-06-26
NILAINFRA,2368769,NILA INFRASTRUCTURES,2026-06-26
KRITIKA,2377729,KRITIKA WIRES,2026-06-26
STARTECK,2382081,STARTECK FINANCE,2026-06-26
PNC,2391553,PRITISH NANDY COMMUNICATI,2026-06-26
IOB,2393089,INDIAN OVERSEAS BANK,2026-06-26
TAJGVK,2394625,TAJ GVK HOTELS & RESORTS,2026-06-26
MSTCLTD,2395137,MSTC,2026-06-26
CAMPUS,2396673,CAMPUS ACTIVEWEAR,2026-06-26
TRU,2400769,TRUCAP FINANCE,2026-06-26
CREATIVEYE,2402305,CREATIVE EYE,2026-06-26
PNCINFRA,2402561,PNC INFRATECH,2026-06-26
RAINBOW,2408449,RAINBOW CHILDRENS MED,2026-06-26
SILVERTUC,2412033,SILVER TOUCH TECHNO,2026-06-26
SKIPPER,2413569,SKIPPER,2026-06-26
AXISCADES,2415617,AXISCADES TECH,2026-06-26
LICI,2426881,LIFE INSURA CORP OF INDIA,2026-06-26
SAKAR,2441985,SAKAR HEALTHCARE,2026-06-26
RVNL,2445313,RAIL VIKAS NIGAM,2026-06-26
PRUDENT,2445569,PRUDENT CORP ADV SER,2026-06-26
AKSHAR,2446849,AKSHAR SPINTEX,2026-06-26
METROPOLIS,2452737,METROPOLIS HEALTHCARE,2026-06-26
POLYCAB,2455041,POLYCAB INDIA,2026-06-26
VENUSPIPES,2455553,VENUS PIPES & TUBES,2026-06-26
DELHIVERY,2457345,DELHIVERY,2026-06-26
SPLPETRO,2461953,SUPREME PETROCHEM,2026-06-26
KHANDSE,2468097,KHANDWALA SECURITIES,2026-06-26
RELCHEMQ,2470913,RELIANCE CHEMOTEX IND,2026-06-26
MEDICO,2474753,MEDICO REMEDIES,2026-06-26
HIKAL,2475009,HIKAL,2026-06-26
SOUTHWEST,2477569,SOUTH WEST PINNACLE,2026-06-26
KPITTECH,2478849,KPIT TECHNOLOGIES,2026-06-26
TRIDENT,2479361,TRIDENT,2026-06-26
PARADEEP,2493697,PARADEEP PHOSPHATES,2026-06-26
ETHOSLTD,2496001,ETHOS,2026-06-26
EMUDHRA,2497537,EMUDHRA,2026-06-26
AETHER,2511361,AETHER INDUSTRIES,2026-06-26
HAVELLS,2513665,HAVELLS INDIA,2026-06-26
NV20BEES,2520833,NIPPON INDIA ETF NV20,2026-06-26
NEXTMEDIA,2525953,NEXT MEDIAWORKS,2026-06-26
GOLDTECH,2527745,AION-TECH SOLUTIONS,2026-06-26
CHEVIOT,2529025,CHEVIOT COMPANY,2026-06-26
AIRAN,2533633,AIRAN,2026-06-26
AXITA,2534913,AXITA COTTON,2026-06-26
NEOGEN,2538753,NEOGEN CHEMICALS,2026-06-26
ALANKIT,2539777,ALANKIT,2026-06-26
VIKASLIFE,2542337,VIKAS LIFECARE,2026-06-26
ONEPOINT,2544385,ONE POINT ONE SOL,2026-06-26
HEALTHINAV,2550529,HEALTHY INAV,2026-06-26
ABSLBAINAV,2550785,ABSLBANETF INAV,2026-06-26
TECHINAV,2551041,TECH INAV,2026-06-26
BSLSENINAV,2552577,BSLSENETFG INAV,2026-06-26
BSLNIFINAV,2552833,BSLNIFTY INAV,2026-06-26
ABSLNNINAV,2553089,ABSLNN50ET INAV,2026-06-26
AXISHCINAV,2553345,AXISHCETF INAV,2026-06-26
AXISBPINAV,2556417,AXISBPSETF INAV,2026-06-26
AXISBNINAV,2556673,AXISBNKETF INAV,2026-06-26
AXISCEINAV,2556929,AXISCETF INAV,2026-06-26
AXISNIINAV,2557185,AXISNIFTY INAV,2026-06-26
AXISTEINAV,2558977,AXISTECETF INAV,2026-06-26
DSPNEWINAV,2559233,DSPNEWETF INAV,2026-06-26
DSPN50INAV,2561025,DSPN50ETF INAV,2026-06-26
DSPQ50INAV,2561281,DSPQ50ETF INAV,2026-06-26
LIQUIEINAV,2561793,LIQUIDETF INAV,2026-06-26
EBANKINAV,2562049,EBANK INAV,2026-06-26
EBBE23INAV,2563073,EBBETF0423 INAV,2026-06-26
EBBE30INAV,2564097,EBBETF0430 INAV,2026-06-26
EBBE31INAV,2564353,EBBETF0425 INAV,2026-06-26
EBBE32INAV,2564865,EBBETF0431 INAV,2026-06-26
BBETF0INAV,2565377,BBETF0432 INAV,2026-06-26
HBANKEINAV,2565633,HBANKETF INAV,2026-06-26
HDFCNFINAV,2565889,HDFCNIFETF INAV,2026-06-26
HDFCSEINAV,2566145,HDFCSENETF INAV,2026-06-26
ICICIKINAV,2566401,ICICIBANKN INAV,2026-06-26
ICICIPINAV,2566657,ICICIMCAP INAV,2026-06-26
ICICI2INAV,2567169,ICICIB22 INAV,2026-06-26
ICICIOINAV,2567681,ICICIAUTO INAV,2026-06-26
ICICICINAV,2567937,ICICICONSU INAV,2026-06-26
ICICIFINAV,2568449,ICICIFMCG INAV,2026-06-26
ICICIRINAV,2570753,ICICIPHARM INAV,2026-06-26
ICICITINAV,2571009,ICICITECH INAV,2026-06-26
ICICIQINAV,2571265,ICICILIQ INAV,2026-06-26
ICICIMINAV,2571521,ICICIM150 INAV,2026-06-26
ICICIXINAV,2572033,ICICINXT50 INAV,2026-06-26
ICICI5INAV,2572289,ICICI500 INAV,2026-06-26
ICICIAINAV,2572545,ICICIALPLV INAV,2026-06-26
ICICI1INAV,2572801,ICICINF100 INAV,2026-06-26
ICICIYINAV,2573825,ICICINIFTY INAV,2026-06-26
ICICILINAV,2574593,ICICILOVOL INAV,2026-06-26
ICICININAV,2574849,ICICINV20 INAV,2026-06-26
ICICIBINAV,2575105,ICICIBANKP INAV,2026-06-26
