symbol,entry_date,entry_close,exit_date,exit_close,return_pct,holding_trading_days,holding_calendar_days,exit_reason
TRIVENI,2021-10-26,203.85,2021-10-28,187.85,-7.848908511160168,2,2,ZLEMA_AND_RS
TRIVENI,2021-11-02,204.05,2021-11-16,198.05,-2.9404557706444456,9,14,ZLEMA_AND_RS
TRIVENI,2021-11-17,205.75,2021-11-18,199.7,-2.940461725394905,1,1,ZLEMA_DOWN
TRIVENI,2021-11-24,216.4,2021-11-29,201.2,-7.024029574861379,3,5,ZLEMA_DOWN
TRIVENI,2021-12-02,209.1,2021-12-20,208.65,-0.21520803443327852,12,18,ZLEMA_DOWN
TRIVENI,2021-12-23,216.9,2021-12-24,216.0,-0.4149377593360981,1,1,ZLEMA_DOWN
TRIVENI,2021-12-27,217.05,2022-01-24,231.15,6.496199032480998,20,28,ZLEMA_DOWN
TRIVENI,2022-01-27,265.15,2022-02-14,255.35,-3.696021120120685,12,18,ZLEMA_DOWN
TRIVENI,2022-02-15,272.35,2022-02-17,272.1,-0.09179364787956779,2,2,ZLEMA_DOWN
TRIVENI,2022-03-03,266.15,2022-04-25,337.15,26.6766860792786,34,53,ZLEMA_DOWN
TRIVENI,2022-05-18,317.1,2022-05-23,297.35,-6.2283191422264235,3,5,ZLEMA_DOWN
TRIVENI,2022-09-30,254.2,2022-10-25,269.6,6.058221872541325,16,25,ZLEMA_DOWN
TRIVENI,2022-11-04,270.85,2022-11-22,273.55,0.996861731585752,11,18,ZLEMA_DOWN
TRIVENI,2022-11-24,278.45,2022-12-08,282.05,1.2928712515712038,10,14,ZLEMA_AND_RS
TRIVENI,2022-12-16,289.0,2022-12-22,276.7,-4.2560553633217975,4,6,ZLEMA_DOWN
TRIVENI,2022-12-27,290.2,2022-12-29,283.15,-2.429359062715375,2,2,ZLEMA_DOWN
TRIVENI,2023-01-06,285.1,2023-01-09,282.6,-0.8768853034023194,1,3,ZLEMA_DOWN
TRIVENI,2023-01-16,283.25,2023-01-17,281.85,-0.4942630185348573,1,1,ZLEMA_DOWN
TRIVENI,2023-01-18,285.65,2023-01-19,282.6,-1.067740241554338,1,1,ZLEMA_DOWN
TRIVENI,2023-01-31,285.7,2023-02-01,270.2,-5.425271263563181,1,1,ZLEMA_AND_RS
TRIVENI,2023-02-10,279.4,2023-02-21,275.85,-1.2705798138868851,7,11,ZLEMA_DOWN
TRIVENI,2023-03-02,279.05,2023-03-15,270.95,-2.902705608313927,8,13,ZLEMA_AND_RS
TRIVENI,2023-03-23,277.8,2023-03-24,266.45,-4.0856731461483164,1,1,ZLEMA_AND_RS
TRIVENI,2023-08-21,303.9,2023-08-22,303.45,-0.14807502467916178,1,1,RS_NOT_RISING
TRIVENI,2023-10-10,386.45,2023-10-23,354.65,-8.228748867900116,9,13,ZLEMA_AND_RS
TRIVENI,2024-03-04,353.85,2024-03-05,345.6,-2.3314963967782987,1,1,RS_NOT_RISING
TRIVENI,2024-04-22,359.9,2024-05-06,348.25,-3.237010280633501,9,14,ZLEMA_AND_RS
TRIVENI,2024-05-08,354.9,2024-05-09,347.85,-1.9864750633981298,1,1,ZLEMA_DOWN
TRIVENI,2024-05-14,355.9,2024-05-16,350.1,-1.629671255970766,2,2,ZLEMA_AND_RS
TRIVENI,2024-05-17,365.1,2024-05-21,351.75,-3.656532456861139,2,4,ZLEMA_AND_RS
TRIVENI,2024-07-24,413.6,2024-08-02,397.9,-3.7959381044487484,7,9,ZLEMA_AND_RS
TRIVENI,2024-08-13,412.15,2024-09-26,472.1,14.545675118282198,31,44,ZLEMA_DOWN
TRIVENI,2024-10-01,478.65,2024-10-03,473.2,-1.1386190326961199,1,2,ZLEMA_DOWN
TRIVENI,2025-01-01,462.8,2025-01-02,454.95,-1.6961970613656008,1,1,ZLEMA_DOWN
TRIVENI,2025-02-21,377.85,2025-02-25,363.95,-3.6787084822019422,2,4,ZLEMA_AND_RS
TRIVENI,2025-03-06,366.15,2025-03-13,365.25,-0.2458009012699658,5,7,ZLEMA_DOWN
TRIVENI,2025-03-17,366.85,2025-03-26,385.0,4.94752623688155,7,9,RS_NOT_RISING
TRIVENI,2025-04-11,379.9,2025-04-21,399.6,5.185575151355626,4,10,RS_NOT_RISING
TRIVENI,2025-05-07,418.4,2025-05-08,409.4,-2.151051625239009,1,1,ZLEMA_DOWN
TRIVENI,2025-05-12,419.3,2025-05-16,430.1,2.5757214404960704,4,4,RS_NOT_RISING
TRIVENI,2025-08-28,351.75,2025-09-01,349.7,-0.5828002842928282,2,4,RS_NOT_RISING
TRIVENI,2025-11-27,363.15,2025-11-28,355.85,-2.010188627288989,1,1,ZLEMA_AND_RS
TRIVENI,2025-12-09,365.05,2025-12-10,347.65,-4.766470346527885,1,1,ZLEMA_AND_RS
TRIVENI,2025-12-12,357.85,2026-01-05,380.05,6.203716641050705,15,24,ZLEMA_DOWN
TRIVENI,2026-01-28,358.55,2026-02-24,380.0,5.982429228838382,20,27,ZLEMA_DOWN
TRIVENI,2026-02-25,385.1,2026-03-09,374.65,-2.713580888081024,7,12,ZLEMA_DOWN
TRIVENI,2026-03-24,370.3,2026-04-10,383.0,3.4296516338104155,10,17,RS_NOT_RISING
TRIVENI,2026-06-11,382.6,2026-06-12,385.95,0.8755880815473072,1,1,RS_NOT_RISING
CARTRADE,2022-04-26,638.35,2022-05-09,616.85,-3.3680582752408594,8,13,ZLEMA_DOWN
CARTRADE,2022-05-24,609.15,2022-05-25,579.35,-4.892062710334066,1,1,ZLEMA_DOWN
CARTRADE,2022-05-27,618.5,2022-06-14,630.7,1.9725141471301555,12,18,ZLEMA_DOWN
CARTRADE,2023-07-03,491.9,2023-07-10,487.35,-0.92498475299857,5,7,ZLEMA_AND_RS
CARTRADE,2023-07-11,555.95,2023-07-18,508.65,-8.507959348862315,5,7,ZLEMA_DOWN
CARTRADE,2023-07-19,512.1,2023-07-21,509.6,-0.4881859011911738,2,2,ZLEMA_DOWN
CARTRADE,2023-09-13,567.45,2023-09-20,565.2,-0.3965107057890549,4,7,ZLEMA_AND_RS
CARTRADE,2023-10-03,584.8,2023-10-23,616.15,5.360807113543098,14,20,ZLEMA_DOWN
CARTRADE,2023-10-25,643.4,2023-11-22,779.2,21.106621075536225,20,28,ZLEMA_DOWN
CARTRADE,2023-11-24,841.5,2023-11-29,782.15,-7.0528817587641175,2,5,ZLEMA_DOWN
CARTRADE,2024-02-26,760.3,2024-03-06,725.3,-4.603446008154677,8,9,ZLEMA_AND_RS
CARTRADE,2024-04-01,707.1,2024-04-05,716.55,1.3364446330080604,4,4,RS_NOT_RISING
CARTRADE,2024-05-30,893.6,2024-05-31,869.65,-2.680170098478074,1,1,ZLEMA_DOWN
CARTRADE,2024-08-16,878.85,2024-08-26,875.05,-0.432383228082156,6,10,ZLEMA_AND_RS
CARTRADE,2024-09-10,917.8,2024-09-30,964.45,5.082806711701915,14,20,ZLEMA_DOWN
CARTRADE,2024-10-01,990.85,2024-10-03,933.0,-5.83842155724883,1,2,ZLEMA_AND_RS
CARTRADE,2024-10-11,939.0,2024-12-30,1520.9,61.97018104366347,53,80,ZLEMA_DOWN
CARTRADE,2025-01-02,1597.45,2025-01-07,1557.1,-2.52590065416759,3,5,ZLEMA_DOWN
CARTRADE,2025-01-09,1619.95,2025-01-10,1549.2,-4.367418747492202,1,1,ZLEMA_DOWN
CARTRADE,2025-01-29,1541.2,2025-02-10,1608.4,4.360238774980529,9,12,ZLEMA_DOWN
CARTRADE,2025-03-04,1548.55,2025-03-06,1541.5,-0.4552646023699536,2,2,ZLEMA_DOWN
CARTRADE,2025-03-07,1548.8,2025-03-12,1532.55,-1.0491993801652888,3,5,ZLEMA_DOWN
CARTRADE,2025-03-13,1559.0,2025-03-28,1644.95,5.5131494547786986,10,15,ZLEMA_DOWN
CARTRADE,2025-04-03,1679.1,2025-04-07,1464.2,-12.798523018283593,2,4,ZLEMA_AND_RS
CARTRADE,2025-08-29,2398.0,2025-09-10,2453.7,2.3227689741451174,8,12,ZLEMA_DOWN
CARTRADE,2025-09-19,2540.6,2025-09-22,2389.2,-5.959222230969063,1,3,ZLEMA_DOWN
CARTRADE,2025-09-24,2493.0,2025-09-25,2454.3,-1.5523465703971007,1,1,ZLEMA_DOWN
CARTRADE,2025-09-29,2500.4,2025-09-30,2450.1,-2.011678131498973,1,1,ZLEMA_DOWN
CARTRADE,2025-10-03,2497.8,2025-10-07,2462.8,-1.4012330851149057,2,4,ZLEMA_DOWN
CARTRADE,2025-10-08,2492.0,2025-10-09,2475.0,-0.6821829855537698,1,1,ZLEMA_DOWN
CARTRADE,2025-10-13,2498.5,2025-10-14,2466.8,-1.2687612567540474,1,1,ZLEMA_DOWN
CARTRADE,2025-10-15,2487.8,2025-10-17,2457.6,-1.213923948870499,2,2,ZLEMA_DOWN
CARTRADE,2025-10-21,2514.1,2025-11-21,3024.8,20.31343224215427,21,31,ZLEMA_DOWN
CARTRADE,2025-11-24,3063.6,2025-11-27,3055.5,-0.2643948296122134,3,3,ZLEMA_DOWN
CARTRADE,2025-11-28,3087.7,2025-12-01,3063.6,-0.7805162418628719,1,3,ZLEMA_DOWN
CARTRADE,2025-12-03,3095.2,2025-12-04,3008.3,-2.8075730162832713,1,1,ZLEMA_DOWN
CARTRADE,2025-12-22,2902.4,2025-12-23,2792.9,-3.7727398015435454,1,1,ZLEMA_AND_RS
CARTRADE,2025-12-31,2826.2,2026-01-07,2812.8,-0.4741348807586032,5,7,ZLEMA_AND_RS
CARTRADE,2026-01-13,2800.5,2026-01-14,2706.6,-3.3529726834493845,1,1,ZLEMA_AND_RS
CARTRADE,2026-01-30,2649.3,2026-02-01,2585.4,-2.4119578756652715,1,2,ZLEMA_DOWN
KIRLOSENG,2022-05-17,146.55,2022-05-19,141.45,-3.480040941658158,2,2,ZLEMA_DOWN
KIRLOSENG,2022-05-20,153.15,2022-05-25,147.85,-3.460659484165862,3,5,ZLEMA_DOWN
KIRLOSENG,2022-05-26,152.6,2022-06-07,152.85,0.1638269986893759,8,12,ZLEMA_DOWN
KIRLOSENG,2022-08-11,165.65,2022-09-20,237.05,43.10292785994567,26,40,ZLEMA_DOWN
KIRLOSENG,2022-09-22,239.85,2022-09-23,237.0,-1.1882426516572786,1,1,ZLEMA_DOWN
KIRLOSENG,2022-09-30,243.05,2022-10-03,229.55,-5.554412672289654,1,3,ZLEMA_DOWN
KIRLOSENG,2022-10-06,240.25,2022-10-21,255.65,6.409989594172738,11,15,ZLEMA_DOWN
KIRLOSENG,2022-10-24,265.0,2022-10-25,263.55,-0.5471698113207468,1,1,ZLEMA_DOWN
KIRLOSENG,2022-11-04,277.0,2022-11-25,312.9,12.960288808664245,14,21,ZLEMA_DOWN
KIRLOSENG,2022-11-28,327.45,2022-12-14,334.05,2.0155748969308274,12,16,ZLEMA_DOWN
KIRLOSENG,2022-12-15,337.95,2022-12-16,318.7,-5.696108891847906,1,1,ZLEMA_DOWN
KIRLOSENG,2022-12-30,322.6,2023-01-02,314.85,-2.402355858648486,1,3,ZLEMA_DOWN
KIRLOSENG,2023-01-16,317.85,2023-01-17,315.3,-0.8022652194431323,1,1,ZLEMA_DOWN
KIRLOSENG,2023-01-18,323.85,2023-01-24,314.2,-2.9797745870001613,4,6,ZLEMA_DOWN
KIRLOSENG,2023-01-31,313.4,2023-02-01,305.3,-2.5845564773452345,1,1,ZLEMA_DOWN
KIRLOSENG,2023-02-06,311.25,2023-02-07,305.35,-1.895582329317258,1,1,ZLEMA_AND_RS
KIRLOSENG,2023-02-09,327.0,2023-02-24,314.65,-3.776758409785941,11,15,ZLEMA_DOWN
KIRLOSENG,2023-02-28,315.15,2023-03-01,310.35,-1.523084245597317,1,1,ZLEMA_DOWN
KIRLOSENG,2023-03-03,319.75,2023-04-10,378.05,18.2329945269742,22,38,ZLEMA_DOWN
KIRLOSENG,2023-04-11,391.6,2023-04-27,396.2,1.1746680286006006,11,16,ZLEMA_DOWN
KIRLOSENG,2023-05-11,410.9,2023-05-23,401.9,-2.1903139449987785,8,12,ZLEMA_AND_RS
KIRLOSENG,2023-08-31,483.9,2023-09-12,497.9,2.8931597437487078,8,12,ZLEMA_DOWN
KIRLOSENG,2023-09-26,510.65,2023-10-23,533.85,4.543229217663769,18,27,ZLEMA_DOWN
KIRLOSENG,2023-10-31,543.7,2023-11-03,533.45,-1.8852308258230588,3,3,ZLEMA_DOWN
KIRLOSENG,2023-11-06,544.95,2023-11-08,543.3,-0.302780071566211,2,2,ZLEMA_DOWN
KIRLOSENG,2023-11-09,547.35,2023-11-16,540.85,-1.1875399652872987,5,7,ZLEMA_AND_RS
KIRLOSENG,2023-11-28,561.2,2024-01-23,680.5,21.258018531717738,39,56,ZLEMA_DOWN
KIRLOSENG,2024-01-25,689.15,2024-03-05,881.3,27.88217369222956,28,40,ZLEMA_DOWN
KIRLOSENG,2024-03-15,854.1,2024-03-18,841.9,-1.428404168130204,1,3,ZLEMA_DOWN
KIRLOSENG,2024-03-21,855.35,2024-04-15,867.35,1.4029344712690683,14,25,ZLEMA_AND_RS
KIRLOSENG,2024-04-16,894.85,2024-04-19,885.2,-1.0783930267642572,2,3,ZLEMA_DOWN
KIRLOSENG,2024-04-22,935.5,2024-05-29,1209.95,29.337252805986115,26,37,ZLEMA_DOWN
KIRLOSENG,2024-05-31,1246.1,2024-06-04,1210.8,-2.832838455982667,2,4,ZLEMA_DOWN
KIRLOSENG,2024-06-07,1241.45,2024-06-10,1230.2,-0.906198397035729,1,3,ZLEMA_DOWN
KIRLOSENG,2024-06-11,1280.55,2024-07-09,1381.1,7.85209480301432,19,28,ZLEMA_DOWN
KIRLOSENG,2024-08-30,1334.35,2024-09-05,1324.9,-0.7082099898827021,4,6,RS_NOT_RISING
KIRLOSENG,2024-11-06,1192.95,2024-11-12,1137.7,-4.631376000670606,4,6,ZLEMA_DOWN
KIRLOSENG,2024-11-14,1137.4,2024-11-18,1135.45,-0.17144364339722884,1,4,ZLEMA_DOWN
KIRLOSENG,2025-04-11,726.15,2025-04-15,732.7,0.9020174894994293,1,4,RS_NOT_RISING
KIRLOSENG,2025-07-10,918.1,2025-07-28,902.65,-1.6828232218712658,12,18,ZLEMA_DOWN
KIRLOSENG,2025-07-29,920.8,2025-07-31,904.2,-1.8027801911381314,2,2,ZLEMA_DOWN
KIRLOSENG,2025-08-06,919.5,2025-08-08,904.85,-1.5932572050027183,2,2,ZLEMA_DOWN
KIRLOSENG,2025-08-11,912.25,2025-08-12,896.2,-1.7593861331871685,1,1,ZLEMA_DOWN
KIRLOSENG,2025-08-18,944.1,2025-08-26,923.6,-2.171380150407798,6,8,ZLEMA_DOWN
KIRLOSENG,2025-09-16,931.2,2025-09-26,915.2,-1.718213058419249,8,10,ZLEMA_DOWN
