symbol,close,open,high,low,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,absorption_day,failed_breakdown_reclaim,failed_breakout,resistance_touches,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason,sector,sector_score
IGPL,468.15,460.65,471.0,454.1,False,True,True,True,False,True,0.9111126733756402,1.2437809199999998,0.9518565950665352,False,0.1098705657045561,True,64.95,True,1.136821101640033,66.0,0.43,0,True,▇▅▅█▁▃▂▄▅▇▅▄▇▇▂▇▃▇▄▇,False,False,False,2,0.038026607538802715,0.09138594241753117,0.03788467196336032,0.05417726767144426,FLAT,True,62,46.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Process Industries,31.5
GREENPANEL,192.88,191.98,195.0,190.1,False,False,False,False,False,False,2.025892792562777,6.3208126159999996,2.002418946690071,True,-0.15913945085711917,True,86.13,True,1.7244796828543112,98.0,2.48,1,False,▃▄▂▄▃▁▄▅▂▅▂▃▄▅▂▅▄▃▅█,False,False,False,0,0.013610804561458911,0.06894258479272897,0.013468868986016513,0.031733910046642055,FLAT,True,56,46.0,IGNORE,SEED,DEL86% ▃▄▂▄▃▁▄▅▂▅▂▃▄▅▂▅▄▃▅█ P98 Z+2.5,NEUTRAL,C,WAIT,Delivery P98,Non-Energy Minerals,33.7
MARICO,876.9,884.9,884.9,871.5,True,True,True,True,False,True,1.592450712613503,254.91824991,1.6419603403801901,False,0.022898038097815657,False,62.0,True,1.073184241501073,51.0,0.05,0,False,▁▄▅▅▇▇▇█▇▇█▇▆▅▆▅▅▅▃▆,False,False,True,13,0.0304347826086957,0.05175412293853077,0.0302928470332533,0.014545448192443855,UP,True,51,46.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Consumer Non-Durables,32.4
ESCORTS,3013.6,3016.8,3032.9,2986.0,True,True,True,False,False,False,0.3912863932363254,12.06434488,0.3978467424780464,False,0.07472816703241347,True,56.97,True,1.0081133928492432,83.0,0.77,0,True,▃▁▃▃▃▆▃▅▄▅▃▄▄▃▄▆▃█▆▄,False,False,False,0,0.021767139079134745,0.03770531317792081,0.021625203503692347,0.0004966384318338957,UP,True,49,46.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Producer Manufacturing,26.7
DEVYANI,118.53,119.06,121.84,114.25,False,True,True,False,True,False,5.2009714656654875,191.913013476,5.318986112889868,True,0.02933065022657554,True,31.03,False,0.6656798386750762,10.0,-1.19,0,False,█▆▇▆▇▆██▆▇▆▆▇▆▅▄▇▇▁▄,False,False,False,2,0.03700787401574801,0.033932309839497465,0.03686593844030561,-0.0032763649065894462,UP,False,47,46.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Consumer Services,29.1
ARROWGREEN,573.05,584.0,587.95,565.1,True,True,True,True,False,False,0.22762832254471824,2.1538657299999997,0.2235035663049628,False,0.27892936623983877,False,51.27,True,1.1591417783907214,36.0,-0.09,0,False,▇▆▇█▆█▇▇██▃▅▆▇▆▅▅▁▃▇,False,False,False,3,0.054078911064103785,0.4797934151065202,0.05393697548866139,0.44258474036043327,FLAT,True,97,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Process Industries,31.5
TARSONS,316.45,323.2,323.2,311.65,True,True,True,True,False,False,0.04603031179613439,1.4952895400000001,0.048314110424309206,False,0.13599773228014342,False,53.06,True,1.473336387743485,48.0,0.01,0,False,▄▁▂▄▅▅▆▆█▆▇▇▁▄▅▅▇▆▇▇,False,False,False,10,0.19392567440105624,0.4995498270388097,0.19378373882561384,0.46234115229272277,FLAT,True,97,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Process Industries,31.5
ASTRAMICRO,1726.0,1763.1,1769.9,1717.1,True,False,True,True,False,True,0.546020092010959,43.2114456,0.5288369843724008,False,-0.004861685353230172,False,55.29,True,1.1634121706927025,89.0,1.19,0,True,▂▃▅▃▆▅▆▁▂▄▄▆█▃█▅▃▆▆▇,False,False,False,3,-0.03881494681739717,0.45715491768678773,-0.038956882392839565,0.4199462429407008,FLAT,True,96,45.0,IGNORE,SEED,,NEUTRAL,C,WAIT,RS leader,Electronic Technology,24.6
DPABHUSHAN,1341.75,1398.1,1402.45,1325.05,True,True,True,True,False,False,0.15174275641631144,4.34324475,0.1557763420071543,False,0.22504994918827492,False,41.92,True,1.2907993595270355,36.0,-0.18,0,False,▆▇█▁▂▃▄▅▁▃▅▁▂▄▃▄▃▄▄▅,False,False,False,7,0.40526811897779647,0.4467867155488463,0.40512618340235407,0.4095780408027594,FLAT,True,96,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Retail Trade,30.1
NITTAGELA,1825.0,1845.0,1878.6,1824.4,True,False,True,True,False,True,0.18400577878502147,0.6090025,0.17703095717552947,False,0.03358427439014384,True,55.83,True,1.06625159947289,51.0,-0.1,0,True,▆██▁▃▃▅▄▇▆▃▃▄▅▁▄▄▇▆▆,False,False,False,0,0.07924305144884691,0.39312977099236646,0.07910111587340451,0.35592109624627954,FLAT,True,94,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,"CMF positive, RS leader",Consumer Non-Durables,32.4
RATEGAIN,896.45,923.15,923.15,892.05,True,False,True,True,False,True,0.43055159495795087,15.152425415,0.4104200975411451,False,-0.09393494895683689,False,60.66,True,1.213503375843961,86.0,0.96,0,True,▃▄▄▃▇▆▆▇▂▃▅▄▅▆▆▁▆▆▇█,False,False,False,9,-0.05157638595006353,0.37397501724270055,-0.05171832152550593,0.33676634249661364,FLAT,True,93,45.0,IGNORE,SEED,,NEUTRAL,C,WAIT,RS leader,Technology Services,36.7
RPEL,1274.8,1299.2,1299.2,1270.0,True,True,True,True,False,True,0.28467654072618265,2.7347009599999996,0.2807402568360952,False,-0.09532149505005807,False,63.61,True,1.202059810081731,85.0,0.88,0,True,█▆▅▅▅▄▇▇▅▁▅▇▆▄▄▆▇▆▆▇,False,False,False,10,-0.01552243416480048,0.38474907668911573,-0.01566436974024288,0.3475404019430288,FLAT,True,93,45.0,IGNORE,SEED,,NEUTRAL,C,WAIT,RS leader,Process Industries,31.5
M&MFIN,392.55,391.85,398.8,388.7,True,True,True,True,False,True,0.7492772082731771,220.54314759000002,0.8186050129769995,False,0.32398462592075356,False,54.38,True,1.1502665200101534,63.0,0.38,0,False,▇▇▇▇▇█▆▆▄█▆▆▃▁▄▅▅▆█▇,False,False,False,8,0.23443396226415092,0.30004967709885744,0.23429202668870852,0.2628410023527705,FLAT,True,89,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Finance,29.1
FEDERALBNK,354.15,359.05,359.35,352.85,True,True,True,True,False,True,0.8538653530845433,221.647433625,0.880718703661737,False,0.341144912231942,False,58.35,True,1.0727384705893168,64.0,0.4,0,False,▅▅▇▆▅▇▃▇▆▇▁▄▅▆▆▆█▇█▆,False,False,False,17,0.06993957703927478,0.24810572687224663,0.06979764146383238,0.21089705212615972,FLAT,True,86,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Finance,29.1
OAL,380.85,399.9,400.0,378.0,True,True,True,True,False,True,0.8572433296057296,1.4436880950000002,0.9116038931188366,False,0.14307693378605355,False,47.56,False,0.8992333071781734,18.0,-0.94,0,True,▄▆▅▁▂▆▆▄▃▄█▆▂▄▂▅▄▄▇▃,False,False,False,8,0.2305331179321486,0.24521824423737115,0.2303911823567062,0.20800956949128424,UP,True,86,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Process Industries,31.5
INDIGO,5280.0,5280.0,5300.0,5205.0,False,True,True,True,False,True,0.6287221871153165,351.547152,0.6396411757637586,False,0.20001296600964127,False,48.38,False,0.8980713185201685,26.0,-0.56,0,True,▅▅▆▅▅▂▁▅▅█▆▇▅▇▅▅▂▅▆▄,False,False,False,4,-0.022041118725689923,0.2348855158219707,-0.02218305430113232,0.1976768410758838,FLAT,True,84,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Transportation,36.4
GODREJPROP,2110.9,2154.0,2154.0,2100.9,True,True,True,True,False,True,0.6091164041673887,110.4887278,0.6181652783819597,False,0.1411545972193443,False,42.04,False,0.9261033825683728,42.0,-0.2,0,True,▆▆█▄▁▂▆▃▂▄▄▄▄▁▅▄▅▃▅▃,False,False,False,9,0.07223040585157725,0.21532615579480674,0.07208847027613485,0.17811748104871983,FLAT,True,83,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Finance,29.1
RPGLIFE,2778.1,2863.4,2899.8,2770.0,True,True,True,True,False,True,0.48150506917951225,6.49019722,0.472035679577248,False,0.2422032971687861,False,60.02,True,1.4940754754555412,74.0,0.58,0,False,▄▅▄▁▅▁▁▄▁▃▆▄▄▅▆▆▄▅▂█,False,False,False,7,0.16058821071980622,0.22157242107114605,0.16044627514436383,0.18436374632505914,FLAT,True,83,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Health Technology,26.4
ABDL,648.45,652.0,655.0,637.05,False,True,True,True,False,True,0.5628218830614443,20.63860722,0.5552121492813895,False,0.05601026907416056,False,54.18,True,1.2023167565408428,79.0,0.75,0,True,▆▁▃▅▅█▆▆▆▆▅▅▆▄▄▂▅▄▆▆,False,False,False,1,-0.036406865294598356,0.20765434397988636,-0.036548800870040754,0.17044566923379945,FLAT,True,82,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Consumer Non-Durables,32.4
TIMETECHNO,208.36,216.9,216.9,207.01,True,True,True,True,False,True,0.7482726176620813,74.03457938000001,0.7909551026522085,False,0.2179880176490416,False,21.4,False,0.8014531018856618,23.0,-0.85,0,True,▇▄█▄▁▃▃▄▄▃▄▄▅▄▂▂▃▃▃▃,False,False,False,6,0.1343641114982579,0.1936980807791464,0.1342221759228155,0.1564894060330595,FLAT,True,80,45.0,IGNORE,NONE,,NEUTRAL,C,WAIT,CMF positive,Process Industries,31.5
