symbol,close,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason
VENUSREM,1797.5,False,True,True,True,True,True,1.7646673076254629,44.25894375,2.1710958540240632,True,0.4306109637173773,True,44.1,False,0.6447886891489814,16.0,-0.95,0,True,▃▅▃▄▃▅▃████▅█▄▄▂▁▂▃▂,0.9713753016012285,1.0834540712836858,0.9362961626845445,1.0578415110166564,FLAT,True,100,72.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader"
THANGAMAYL,6806.0,False,True,True,True,True,True,3.3417723653790747,404.5806282,3.8643948203452285,True,0.10981412517039088,True,16.77,False,0.5768933074184283,5.0,-1.39,0,True,▃▂▆▆▇▆▄▆█▅▆▆▁▂▃▂▂▃▃▁,0.25016072445399606,0.7230379746835442,0.21508158553731205,0.6974254144165148,FLAT,True,98,72.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader"
AMAGI,579.0,False,True,True,True,True,True,2.1421855782099537,86.0400369,2.4016754767108983,True,0.1709296505937567,True,42.65,True,1.1544812278374794,29.0,-0.54,0,False,▇█▇█▁▄▅▄▄▆▅▅▁▁▆▅▆▇▇▆,0.4329909664645464,0.5345878611184733,0.39791182754786236,0.5089753008514439,FLAT,True,97,72.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader"
SKYGOLD,585.5,False,True,True,True,True,True,2.510136632579692,154.0165947,2.80989752275244,True,0.10126259017852415,True,29.73,False,0.626184759256919,4.0,-1.91,0,True,▃▄▃▃▃▂▄▄█▅▇▇▄▃▄▂▂▂▃▁,0.16494230003979293,0.3173585330183373,0.12986316112310892,0.29174597275130787,FLAT,True,91,72.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader"
BAJAJFINSV,1890.0,False,True,True,True,True,True,1.6850682006427198,381.775275,1.8119015644402088,True,0.15687333398508713,True,60.22,True,1.085847202437837,69.0,0.56,0,True,▄▅▅▅▃▆▅█▅▄▃▃█▂▅▁▁▇▁▅,0.10539244356065036,0.020849087177271297,0.07031330464396635,-0.004763473089758108,UP,False,49,71.0,BUILDING,NONE,,NEUTRAL,B,WAIT,CMF positive
BHAGYANGR,276.0,False,True,True,True,True,True,4.031814094917344,55.9844472,5.6121670223747735,True,0.1649743389507399,True,32.67,False,0.7760832383124289,8.0,-1.71,0,False,▅▅▅██▁▃▃▃▂▅▄▇▆█▇▇▇▂▃,0.8778065042862977,0.6453055141579731,0.8427273653696137,0.6196929538909437,UP,True,98,70.0,BUILDING,NONE,,NEUTRAL,B,WAIT,"CMF positive, RS leader"
TSFINV,466.65,False,True,True,True,True,False,1.8513797173684243,19.860903989999997,2.020448210579313,True,0.2702615175089138,True,60.78,True,1.067842617075292,78.0,0.62,0,True,▄▅▄▆█▇▃█▆▃▇▇▁▁▅▅▅▆▅▆,0.20084920226453917,0.14966740576496673,0.16577006334785516,0.12405484549793733,UP,True,74,70.0,BUILDING,NONE,,NEUTRAL,B,WAIT,CMF positive
ETERNAL,289.3,False,True,True,True,True,False,1.5173049297170567,1307.84065082,1.6830817828939664,True,0.0796439659456486,True,57.14,True,1.0739390294327709,65.0,0.45,0,True,▆▂▄▂▁▄▆▅▂▅▂▂▆▆▄▄▅▆█▆,0.16512283527990324,0.11303477993228683,0.13004369636321922,0.08742221966525743,UP,True,68,70.0,BUILDING,NONE,,NEUTRAL,B,WAIT,CMF positive
SHREEPUSHK,424.65,False,True,True,True,True,True,2.481810164875032,4.720579259999999,2.6508503684048694,True,0.21073387203518149,True,52.81,True,1.1628572686836658,78.0,0.78,0,True,▅▇▅▄▃▅▇▆▆▁▄▄▂█▅▆▇▅▃▇,0.19434678666854155,0.11164921465968591,0.15926764775185753,0.08603665439265651,UP,True,68,70.0,BUILDING,NONE,,NEUTRAL,B,WAIT,CMF positive
POCL,1461.6,False,True,True,True,True,True,2.609756797736828,109.62043847999999,2.868034859979727,True,0.1860254646930869,True,45.18,False,0.9581574873284839,70.0,0.54,0,True,▂▁▃▂▅▃▄▄▃▁▄▄█▅▇▄▇▆▃▃,0.20286396181384259,0.18348178137651816,0.16778482289715857,0.15786922110948876,UP,True,79,68.0,WATCH,NONE,,NEUTRAL,C,WAIT,CMF positive
