symbol,close,open,high,low,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,absorption_day,failed_breakdown_reclaim,failed_breakout,resistance_touches,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason,sector,sector_score
EMUDHRA,592.85,535.0,592.85,531.0,False,True,True,True,True,True,10.057979212331189,91.922874625,11.074883126347492,True,0.28811616671593754,True,64.01,True,1.2799312144449666,87.0,1.01,0,False,▁▂▃▄▇▇▅▅▅▅▅▆▃▅▅▆▆▇██,False,True,False,3,0.05479939507161302,0.3472332689467106,0.09159488696240092,0.3642745920828825,FLAT,True,94,86.0,STRONG,MARKUP,,RED,A,NO_DEPLOY,"CMF positive, RS leader",Technology Services,21.0
BALAJITELE,95.48,90.71,98.0,90.51,False,True,True,True,False,False,5.8084898154373015,15.331510040000001,5.861144351086219,True,0.20567589251017643,True,70.28,True,1.2864373118072907,96.0,1.64,0,True,▇▇▅▆▅▆▆▇▆▅▇█▇▁▅▄▆▅██,False,True,False,3,0.028990192908718626,0.04842428900845519,0.06578568479950653,0.0654656121446271,UP,True,68,86.0,STRONG,BUILDING,,RED,B,NO_DEPLOY,"Delivery P96, CMF positive",Consumer Services,29.2
GRPLTD,2046.2,1925.1,2050.0,1925.1,False,True,True,True,True,True,18.088752593127086,4.1036541,18.56949830692673,True,0.44663273097859846,True,88.18,True,1.2715946125227122,98.0,1.95,0,True,▅▅█▅▅▅▁▅▆▇▆▄▂▇▆▆▅▅██,False,True,False,0,0.02218003796583079,0.11924297122853078,0.05897552985661869,0.13628429436470268,FLAT,True,78,80.0,BUILDING,BREAKOUT,,RED,B,NO_DEPLOY,"Delivery P98, CMF positive",Producer Manufacturing,24.3
ROSSTECH,1265.4,1234.9,1308.2,1211.8,False,True,True,True,True,True,5.139979000852637,134.4860793,5.775558724296039,True,0.021585477736214026,True,47.43,True,1.083000342504852,73.0,0.56,0,True,▁▄▃▂▄▅█▃▃▃▃▃▆▃▃▂▂▂▄▄,False,False,False,13,0.1466630420008157,0.3077718065316246,0.1834585338916036,0.3248131296677965,FLAT,True,92,79.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Electronic Technology,25.8
VENUSREM,1797.5,1749.9,1800.8,1706.8,False,True,True,True,True,True,1.7646673076254629,44.25894375,2.1710958540240632,True,0.4306109637173773,True,44.1,False,0.6447886891489814,16.0,-0.95,0,True,▃▅▃▄▃▅▃████▅█▄▄▂▁▂▃▂,False,False,False,14,0.9713753016012285,1.0834540712836858,1.0081707934920163,1.1004953944198577,FLAT,True,100,78.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Health Technology,30.5
PAYTM,1807.5,1745.0,1840.0,1726.8,False,True,True,True,True,True,2.4065257540330136,1675.4501955,2.6191649305410043,True,0.24596455635222741,True,35.19,False,0.7919343767933296,23.0,-0.68,0,True,▁▃▇█▇▃█▇▃▅▄▆▅▅▄█▅▂▃▃,False,False,False,7,0.1275733000623831,0.47985917799246747,0.164368791953171,0.49690050112863937,FLAT,True,97,78.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Finance,28.2
JINDALPHOT,1099.6,1001.5,1154.0,1001.5,False,True,True,False,True,False,40.152195309311765,9.196064759999999,42.897154220916946,True,0.056241353450585084,True,69.45,True,1.0740050568704622,90.0,1.28,0,True,▃█▆▅▇▃▁▃▄█▂▄▅▂█▅▆█▆▆,False,True,False,0,0.0316164743409324,-0.04473981409086958,0.0684119662317203,-0.027698490954697674,UP,False,45,77.0,BUILDING,BREAKOUT,,RED,B,NO_DEPLOY,"Delivery P90, CMF positive",Finance,28.2
ARROWGREEN,838.55,835.9,883.85,815.25,False,True,True,True,True,True,11.013705329306909,18.885068405,12.359580135955088,True,0.010627272532624608,False,51.27,True,1.1591417783907214,36.0,-0.09,0,False,▇▆▇█▆█▇▇██▃▅▆▇▆▅▅▁▃▇,False,True,False,6,0.1483053748716192,0.264018691588785,0.1851008667624071,0.2810600147249569,FLAT,True,90,76.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Process Industries,22.6
RATNAVEER,289.6,285.9,296.3,278.3,False,True,True,True,False,True,1.1248524242538447,187.82407648000003,1.1607972830837252,True,0.10612710442063837,False,56.29,True,2.078080295339179,92.0,1.24,2,True,▁▁▁▁▄▄▁▂▂▂▃▃▃▃▄▆▄▃██,False,False,False,11,0.14834053689678428,0.6271491178784134,0.18513602878757218,0.6441904410145853,FLAT,True,98,75.0,BUILDING,BUILDING,DEL56% ▁▁▁▁▄▄▁▂▂▂▃▃▃▃▄▆▄▃██ P92 Z+1.2 2D,RED,B,NO_DEPLOY,"Delivery P92, 2D high delivery, CMF positive, RS leader",Non-Energy Minerals,28.3
HEG,728.25,709.0,744.9,695.8,False,True,True,True,False,True,1.5305678333689678,186.50555325,1.559009930400783,True,0.06070578111905269,True,40.65,True,1.1074634591546226,75.0,0.68,0,False,▆▄▄▆▃▅▁▇▄▃▄▄▃▄▆▆▁██▆,False,False,False,10,0.08048961424332335,0.4003461205653305,0.11728510613411125,0.4173874437015024,FLAT,True,95,74.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Electronic Technology,25.8
PFOCUS,319.0,310.95,323.7,310.1,False,True,True,True,True,True,1.6264209895985735,57.6433957,1.7351489431751266,True,0.03982229863544336,False,52.36,True,1.2348619742226101,92.0,1.54,0,False,▁█▇▇▄▇▅▆▇▆▄▅▄▆▄▄▄▆▇▇,False,False,False,7,0.11441048034934487,0.35519775691405764,0.15120597224013277,0.37223908005022954,FLAT,True,94,74.0,BUILDING,BREAKOUT,,RED,B,NO_DEPLOY,"Delivery P92, CMF positive, RS leader",Consumer Services,29.2
ACMESOLAR,420.4,402.15,426.15,402.15,False,True,True,True,True,True,2.384862774668455,221.19606647999998,2.4970733413117996,True,0.18442776856237322,True,47.95,True,1.0459041781636147,58.0,0.16,0,False,▄▂▂▃▆▃▄▅▄█▃▃▄▁▃▅▄▄▅▅,False,False,False,8,0.13086751849361122,0.14503608879204677,0.16766301038439912,0.16207741192821867,UP,True,81,74.0,BUILDING,NONE,,RED,B,NO_DEPLOY,CMF positive,Industrial Services,34.0
GMMPFAUDLR,1348.0,1325.0,1384.8,1323.7,False,True,True,True,True,True,3.3373726581459127,155.9614432,3.7698946742327046,True,0.14240772434337123,False,52.6,True,1.0554407368019745,28.0,-0.47,0,False,▇▇▇██▆▆▇▆▆▄▆▇▁▄▂▄▆▆▆,False,False,False,12,0.3071515151515152,0.7566951195673421,0.3439470070423031,0.773736442703514,FLAT,True,99,73.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,24.3
GRANULES,872.6,917.0,923.65,872.5,True,True,True,True,False,True,1.725339659605244,183.74975197999998,1.7182863565339972,False,0.1646863526493044,False,63.58,True,1.207780859389841,97.0,1.7,0,True,▅▃▃▅▃▆▅▅█▅▃▁▂▃▃▁▆▁▇▇,False,False,False,4,0.025140977443609103,0.010479995367957962,0.061936469334397004,0.027521318504129866,UP,True,59,73.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,"Delivery P97, CMF positive",Health Technology,30.5
SIGMAADV,763.65,730.95,763.65,730.95,False,True,True,True,True,True,1.7437673274959988,71.98256538,2.3807896635157135,True,0.08891886335422795,True,58.91,False,0.9522731865023237,34.0,-0.49,0,False,▃▂▂▁▁▅▂▂▂▂▂▄▄█▃▁▃█▄▃,False,False,False,13,0.7909240150093808,2.8941866394696585,0.8277195069001687,2.9112279626058304,FLAT,True,100,72.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Technology Services,21.0
OPTIEMUS,604.95,569.6,622.1,567.85,False,True,True,True,True,True,7.891539484968445,119.73908439000002,8.270623504330015,True,0.18565983116452273,True,54.97,True,1.1855670103092784,72.0,0.47,0,False,▇█▆▇▁▃▆▆▅▅▇▇▆▆▇█▇▃██,False,True,False,0,0.0976140796516376,0.16157834101382518,0.1344095715424255,0.17861966414999708,FLAT,True,82,72.0,BUILDING,NONE,,RED,B,NO_DEPLOY,CMF positive,Distribution Services,31.7
SHREEJISPG,684.0,691.75,711.65,655.85,True,True,True,True,False,True,3.106138821947102,223.6339368,3.221845983192149,False,0.1692486314734167,False,41.76,True,1.028482766263992,62.0,0.21,0,True,▃▃▄▇▅▇▄▅█▅▁▇▄▅▄▄▅▅▅▅,False,False,False,6,0.09291363745306369,0.3132379763847557,0.1297091293438516,0.3302792995209276,FLAT,True,93,71.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Transportation,28.8
ADANIPORTS,1765.2,1719.0,1785.9,1706.0,False,True,True,True,True,True,2.450017499434721,962.1690378,2.5931064712352945,True,0.08538338661104983,True,61.38,True,1.0360367963541226,87.0,1.22,0,True,▂▅▆▅▄▂▅▄▅█▁▂▂▄▄▅▃▅▄▄,False,False,False,0,0.06018018018018023,-0.04490855967968832,0.09697567207096813,-0.027867236543516416,UP,False,45,71.0,BUILDING,NONE,,RED,B,NO_DEPLOY,CMF positive,Transportation,28.8
MAXHEALTH,1037.5,992.7,1040.4,992.2,False,True,True,False,False,True,2.4430145380732196,476.31075125,2.514645667084667,True,0.2558929320768665,True,58.79,True,1.052970939864774,50.0,0.0,0,True,▂▇▅▃▅▄▄▆█▇▁▄▃▅▄▇▁▆▅▅,False,True,False,0,-0.016587677725118488,-0.09782608695652173,0.020207814165669413,-0.08078476382034983,UP,False,30,71.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,CMF positive,Health Services,27.6
KISSHT,340.3,332.0,350.5,332.0,False,True,True,True,True,True,3.362341782845303,143.90956909000002,3.6590261662689394,True,0.041348089828025875,False,55.05,True,1.11537721226611,96.0,1.82,0,True,▃▇▁▅▂▇▇█▅▅▅▅▁▄▄▅▄▃▇▇,False,False,False,0,0.11537200917731893,0.05683229813664603,0.15216750106810684,0.07387362127281794,UP,True,69,70.0,BUILDING,BREAKOUT,,RED,B,NO_DEPLOY,"Delivery P96, CMF positive",Finance,28.2
INVPRECQ,960.0,942.8,999.0,889.0,False,True,True,True,True,True,2.31796391669096,2.748,2.5249461237151496,True,0.2792263726426544,False,55.27,False,0.784695108965713,23.0,-0.74,0,True,▁▇██▄▇▅▅▆▆▅█▇▅▇▇▄▂▂▃,False,False,False,4,0.1578122173310017,0.5192277259059979,0.1946077092217896,0.5362690490421698,FLAT,True,97,69.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,24.3
AEGISVOPAK,302.0,298.4,311.0,292.8,False,True,True,True,True,True,4.917541365313804,134.3174596,5.25439497941902,True,0.18812598937522085,False,49.66,True,1.226082018615905,74.0,0.59,0,True,▁▅▄▂▃▅█▄▅▃▄▁▂▄▅▄▄▄▇▇,False,False,False,1,0.09898107714701587,0.02609404729546072,0.13577656903780377,0.043135370431632625,UP,True,63,69.0,WATCH,NONE,,RED,C,NO_DEPLOY,CMF positive,Transportation,28.8
MANKIND,2280.5,2280.0,2300.9,2251.8,False,False,False,False,False,True,1.6217142049657887,101.8079054,1.5665988433263898,True,0.14852000998730813,True,71.5,True,1.2209699453551912,92.0,1.52,0,True,▅▁▆▇▃█▃▆▄█▇▂▄▄▃▆▅▅██,False,True,False,0,-0.04180672268907559,-0.08299489324058063,-0.005011230798287691,-0.06595357010440872,UP,False,34,69.0,WATCH,SEED,,RED,C,NO_DEPLOY,"Delivery P92, CMF positive",Health Technology,30.5
UFBL,811.05,809.0,828.9,783.0,False,True,True,True,True,True,0.6606451474355552,8.982297645,0.7336182503286376,False,0.3020118661306201,True,62.37,True,1.0503271220834771,64.0,0.47,0,True,▁▂▃▁▃▄▂▂▃▆▅▃▃▂▂█▃▄▁▃,False,False,False,5,0.09608757348469488,0.6647167487684729,0.13288306537548278,0.6817580719046448,FLAT,True,98,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Consumer Services,29.2
KOPRAN,249.9,235.26,267.0,233.15,False,True,True,True,True,True,37.81077968129661,396.27795039,41.461530913869254,True,-0.005447741814501266,True,42.9,True,1.1794949342204748,31.0,-0.4,0,False,▁▅▆▅▁▂▄▄▃▅▆▆▅▇█▅▆▇▆▆,False,False,False,8,0.2401369659073993,0.3194994455884683,0.2769324577981872,0.3365407687246402,FLAT,True,93,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,RS leader,Health Technology,30.5
MAXESTATES,568.9,559.75,571.5,542.0,False,True,True,True,True,True,0.8034883288910174,14.6406415,0.8580301306656017,False,0.1485519807041288,True,64.33,True,1.1356795452338706,85.0,0.89,0,True,▂▂▄▄▁▂▅▅▆▄▄▄▅▇▇▆▇█▆▆,False,False,False,11,0.1905409647378884,0.28318484267508737,0.2273364566286763,0.30022616581125927,FLAT,True,91,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Finance,28.2
FSL,283.35,250.15,292.0,250.15,False,True,True,True,True,False,42.17230027584246,961.4244860550001,44.634039069482526,True,0.40670957508592254,True,38.06,False,0.987289234760052,50.0,0.01,0,True,▇▁▄▅▅▄▇▇▃▇▆█▄▄▆▄▆▆▅▅,False,True,False,0,0.07390562819783963,0.16246153846153866,0.11070112008862754,0.17950286159771056,FLAT,True,83,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,CMF positive,Commercial Services,28.1
MEESHO,217.2,211.4,217.86,210.5,False,True,True,True,True,True,1.1099843472885476,372.10623635999997,1.171739423415237,True,0.11434942048507732,True,54.17,True,1.1786207721848108,87.0,1.07,0,True,█▄▁▃▁▁▅▅▅▅▅▄▁▃▆▆▆▃▆▆,False,False,False,12,0.13183949973944764,0.14436248682824004,0.16863499163023554,0.16140380996441195,UP,True,81,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,CMF positive,Retail Trade,31.1
TATACHEM,734.9,734.9,734.9,734.9,False,True,True,True,True,False,3.5840469324410593,134.009015,4.168356918828654,True,-0.20533972245581553,True,41.4,True,1.000870322019147,35.0,-0.2,0,True,▇▇▅▄▁▅▃█▁▅▄▆▅▄▃▃▃▁▄▄,False,True,False,0,0.1254211332312405,0.022682994711939797,0.1622166251220284,0.0397243178481117,UP,True,62,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,No standout factor,Process Industries,22.6
KKCL,498.6,498.55,501.95,480.75,False,False,False,True,False,False,3.803782638981727,5.39091306,3.7153151107390614,True,0.13588797319372936,True,85.42,True,1.4532401027577877,99.0,2.5,0,True,▁▅▅▂▆▃▄▅▄▃▁▃▁▄▃▃▇▄██,False,True,False,0,-0.03193864673332669,0.005444646098003769,0.004856845157461209,0.022485969234175673,FLAT,True,58,68.0,WATCH,SEED,,RED,C,NO_DEPLOY,"Delivery P99, CMF positive",Consumer Non-Durables,28.4
HATSUN,1275.0,1207.2,1349.7,1207.2,False,True,True,True,True,True,7.687696345663299,111.5115,8.720101318916774,True,0.17031058916298575,False,38.05,False,0.8143479330971973,8.0,-1.21,0,False,▄█▃▅▂▃▂▁▄▅▅▆▄▂▂▅▃▂▂▂,False,False,False,15,0.2939564621708022,0.4221974344673731,0.3307519540615901,0.439238757603545,FLAT,True,96,67.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Consumer Non-Durables,28.4
