symbol,close,open,high,low,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,absorption_day,failed_breakdown_reclaim,failed_breakout,resistance_touches,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason,sector,sector_score
COMSYN,294.75,289.8,301.45,271.0,False,True,True,True,False,True,2.3268447725382595,24.748123725,2.3166171208456747,True,0.27764692693752785,True,42.55,False,0.7713643450201225,39.0,-0.34,0,True,▇▁▇▄▄█▁▃▄▄▂▆▆▃▂▅▄▄▄▂,False,True,False,12,0.050614863660666476,0.5382808830436823,0.08399362771215457,0.5380663264646302,FLAT,True,97,82.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Process Industries,24.8
ARROWGREEN,907.45,848.0,952.75,827.0,False,True,True,True,True,True,9.955370482519706,28.268247185000003,11.57723372855148,True,0.09240810767612641,True,42.41,False,0.9640498732709727,20.0,-0.76,0,False,▆▇█▆█▇▇██▃▅▆▇▆▅▅▁▃▇▆,False,True,False,7,0.27067142757123874,0.33448529411764705,0.30405019162272684,0.33427073753859493,FLAT,True,92,80.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Process Industries,24.8
VENUSREM,1797.5,1749.9,1800.8,1706.8,False,True,True,True,True,True,1.7646673076254629,44.25894375,2.1710958540240632,True,0.4306109637173773,True,44.1,False,0.6447886891489814,16.0,-0.95,0,True,▃▅▃▄▃▅▃████▅█▄▄▂▁▂▃▂,False,False,False,14,0.9713753016012285,1.0834540712836858,1.0047540656527167,1.0832395147046336,FLAT,True,100,78.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Health Technology,30.1
SETL,422.55,422.55,422.55,422.55,True,True,True,True,False,True,0.050013911908601515,2.727517995,0.05689850654466668,False,0.5974057951228442,True,100.0,True,1.7210222872386198,100.0,4.34,1,True,▄▄▄▆▂▆▅▅▂▄▂▃▃▄▂▃▇▁▁█,True,False,False,14,0.3648255813953487,0.5909262048192769,0.3982043454468368,0.5907116482402248,FLAT,True,98,78.0,BUILDING,BUILDING,DEL100% ▄▄▄▆▂▆▅▅▂▄▂▃▃▄▂▃▇▁▁█ P100 Z+4.3,RED,B,NO_DEPLOY,"Delivery P100, CMF positive, RS leader",Health Technology,30.1
PAYTM,1807.5,1745.0,1840.0,1726.8,False,True,True,True,True,True,2.4065257540330136,1675.4501955,2.6191649305410043,True,0.24596455635222741,True,33.36,False,0.7554689976901128,18.0,-0.87,0,True,▂▆█▇▂█▇▂▄▄▆▄▄▄▇▄▁▂▂▁,False,False,False,7,0.1275733000623831,0.47985917799246747,0.1609520641138712,0.47964462141341535,FLAT,True,96,78.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Finance,28.5
ROSSTECH,1349.9,1270.0,1420.0,1219.5,False,True,True,True,True,True,15.753379886468288,457.089639,18.248916933148404,True,0.1580740588552155,True,12.13,False,0.27350620067643744,2.0,-2.58,0,True,▅▅▄▅▆█▅▅▅▅▅▇▅▅▄▄▅▆▆▁,False,False,False,14,0.2502547003797351,0.3990050782464505,0.28363346443122317,0.39879052166739837,FLAT,True,95,78.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Electronic Technology,27.3
RATNAVEER,286.75,280.0,294.9,275.2,True,True,True,True,False,True,2.158617963466689,340.866119525,2.178197119390491,False,0.151440114171986,True,38.86,True,1.3349823078772887,46.0,-0.07,0,True,▁▁▁▄▄▁▂▂▂▃▃▃▃▄▆▄▃██▅,False,False,False,10,0.1451677316293929,0.586972162266866,0.178546495680881,0.5867576056878139,FLAT,True,98,76.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Non-Energy Minerals,29.3
EMUDHRA,642.3,625.0,677.0,600.35,False,True,True,True,True,True,154.0167090846198,1943.2620786599998,178.03244470746182,True,0.120442179269887,False,5.56,False,0.11004126547455295,0.0,-3.7,0,False,▅▅▆▇▇▆▆▆▆▆▇▅▇▆▇▇███▁,False,True,False,4,0.1780997798972852,0.4857737682165162,0.2114785439487733,0.48555921163746407,FLAT,True,97,75.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Technology Services,22.8
HEG,728.25,709.0,744.9,695.8,False,True,True,True,False,True,1.5305678333689678,186.50555325,1.559009930400783,True,0.06070578111905269,True,40.65,True,1.1074634591546226,75.0,0.68,0,False,▆▄▄▆▃▅▁▇▄▃▄▄▃▄▆▆▁██▆,False,False,False,10,0.08048961424332335,0.4003461205653305,0.11386837829481145,0.40013156398627836,FLAT,True,95,74.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Electronic Technology,27.3
MAXESTATES,572.1,568.3,573.85,545.25,False,True,True,True,True,True,0.41659528161363985,7.55383677,0.44381416968700116,False,0.1971140086788592,True,70.37,True,1.2096885099360517,95.0,1.43,0,True,▂▄▄▁▂▅▅▆▄▄▄▅▇▇▆▇█▆▆▇,False,False,False,11,0.16719371620932377,0.3252258512856152,0.20057248026081187,0.3250112947065631,FLAT,True,92,74.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"Delivery P95, CMF positive, RS leader",Finance,28.5
PAISALO,84.59,82.95,85.6,81.1,False,True,True,True,True,True,1.647281573599391,177.57663179300002,1.8514085867179375,True,0.5123976629753672,True,38.7,False,0.7820946799373516,14.0,-1.0,0,True,▂▂▃▄█▇▆▇▆▇▂▅▄▂▅▂▁▄▄▂,False,False,False,8,0.2194032002306472,0.2012212439647827,0.2527819642821353,0.20100668738573058,UP,True,85,74.0,BUILDING,NONE,,RED,B,NO_DEPLOY,CMF positive,Finance,28.5
POLICYBZR,1827.1,1739.9,1847.0,1710.1,False,True,True,True,False,True,2.026114063802855,374.48570478,2.040259982285217,True,0.1956848637221423,True,37.08,False,0.669301998158878,2.0,-1.99,0,True,▅▆▅▅▅▅▇▆█▁▆▆▄▅▆▇▅▄▄▃,False,True,False,9,0.025251108243083964,0.16934399999999994,0.05862987229457206,0.16912944342094782,FLAT,True,82,74.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,CMF positive,Technology Services,22.8
HAPPYFORGE,2155.9,2065.0,2178.0,2065.0,False,False,True,True,False,True,1.9341550534869438,36.259219740000006,1.8289876046487643,True,0.014153221243789463,True,56.21,False,0.9714828897338403,70.0,0.34,0,True,▁▃▅▃▅▅▁▄▅▃▄▂▅▄▃▇▅██▄,False,True,False,4,-0.06586073920013868,0.4176091530773278,-0.03248197514865059,0.4173945964982757,FLAT,True,95,73.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,25.6
SIGMAADV,763.65,730.95,763.65,730.95,False,True,True,True,True,True,1.7437673274959988,71.98256538,2.3807896635157135,True,0.08891886335422795,True,58.91,False,0.9522731865023237,34.0,-0.49,0,False,▃▂▂▁▁▅▂▂▂▂▂▄▄█▃▁▃█▄▃,False,False,False,13,0.7909240150093808,2.8941866394696585,0.8243027790608689,2.893972082890606,FLAT,True,100,72.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Technology Services,22.8
INDSWFTLAB,363.9,376.65,379.7,320.2,True,True,True,True,False,True,1.5991100512513732,59.570721119999995,1.5999808173748764,False,0.28143315293480364,True,27.28,False,0.7612669178177759,3.0,-1.63,0,False,▆▅▆▅▆▁▅▅▅▄▅▅█▇▅▆▇▄▄▄,False,True,False,11,0.12991368068061848,0.6139619461569166,0.16329244473210658,0.6137473895778645,FLAT,True,98,72.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Health Technology,30.1
RACLGEAR,1852.4,1755.0,1892.0,1726.5,False,True,True,True,True,True,2.2241410418331315,47.9530788,2.485410095159919,True,0.20313670029455996,True,26.26,False,0.6562375049980007,12.0,-1.26,0,False,▃▆█▆▅▆▇▆▆▅▇▇▆▆▆▅▅▁▁▃,False,False,False,17,0.2875512615555711,0.4620363062352013,0.3209300256070592,0.4618217496561492,FLAT,True,96,72.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,25.6
KOPRAN,260.86,251.5,274.78,237.78,False,True,True,True,True,True,11.84092780252521,371.044107594,12.728943025558085,True,0.08474021574669598,True,6.65,False,0.18203219095587433,0.0,-3.51,0,False,▆▆▆▃▄▅▅▄▆▇▇▆██▆▇▇▇▇▁,False,False,False,8,0.25739901667791387,0.4301535087719299,0.29077778072940197,0.4299389521928778,FLAT,True,95,72.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Health Technology,30.1
FOSECOIND,6846.5,6224.5,7040.0,6141.0,False,True,True,True,True,True,10.054958506749513,122.3168304,11.173107421356848,True,0.2772923336850097,True,15.91,False,0.3674534620536745,2.0,-2.6,0,False,▆▆█▅▆▃▃▂▅▅▅▃▅▇▆▅▃▄▄▁,False,False,False,7,0.2523321748673861,0.3323927216113651,0.2857109389188742,0.332178165032313,FLAT,True,92,72.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Process Industries,24.8
QPOWER,1422.9,1344.0,1422.9,1291.7,False,True,True,True,False,True,1.6799748329088315,70.21115073000001,1.6894402856192154,True,-0.007755738096203661,True,47.5,False,0.9048222262436543,88.0,1.19,0,True,▆▄▃▂▃▂█▂▂▂▁▂▄▁▁▃▂▃▃▂,False,True,False,9,0.09850999768393431,0.29389833590979353,0.1318887617354224,0.2936837793307414,FLAT,True,90,72.0,BUILDING,SEED,,RED,B,NO_DEPLOY,RS leader,Producer Manufacturing,25.6
TMB,904.2,870.0,909.7,863.9,False,True,True,True,False,True,1.559946636751087,23.625028020000002,1.5577721693708246,True,0.17376647171713486,True,51.16,True,1.0650234717350346,57.0,0.12,0,True,▅▆▁▇▆▄▄▄▃▃▄▁▄▄▅▆▃██▆,False,False,False,7,0.07790427370805264,0.20415501398322022,0.11128303775954074,0.2039404574041681,FLAT,True,86,72.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,CMF positive,Finance,28.5
JINDALPHOT,1125.6,1085.1,1130.0,1075.0,False,True,True,True,True,False,1.6135013927804145,1.11164256,1.687177800611109,True,0.12913721377393111,True,68.47,True,1.0556013782790012,89.0,1.22,0,True,█▆▅▇▃▁▃▄█▂▄▅▂█▅▆█▆▆▆,False,True,False,0,0.06864141270293356,-0.004334365325077472,0.10202017675442165,-0.004548921904129588,UP,False,52,71.0,BUILDING,NONE,,RED,B,NO_DEPLOY,CMF positive,Finance,28.5
KABRAEXTRU,628.1,640.0,650.0,585.8,True,True,True,True,False,True,1.7944728690984388,40.89163397,1.8172199837654368,False,0.2780997229803527,True,39.98,True,1.0024446812511751,18.0,-0.96,0,False,▄▄▄▃▆▇▇▄▇▇█▅▅▃▂▃▁▂▂▅,False,False,False,11,0.25419329073482433,1.239614904617579,0.2875720547863124,1.239400348038527,FLAT,True,100,70.0,BUILDING,NONE,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,25.6
BHAGERIA,226.35,229.25,229.8,217.0,True,True,True,True,False,True,1.7349288012623318,5.30224875,1.9184443932858108,False,-0.03203481227702186,True,58.51,True,1.0326600128839822,71.0,0.67,0,True,█▆▄▇▇▅▇▅▁▅▁▃▆▇▆█▇█▆▆,False,False,False,7,0.4080870917573871,0.4403436207445115,0.4414658558088752,0.4401290641654594,UP,True,96,70.0,BUILDING,NONE,,RED,B,NO_DEPLOY,RS leader,Process Industries,24.8
VARROC,851.15,835.5,860.05,807.9,False,True,True,True,False,True,1.237290699528655,37.280199769999996,1.2377944318847391,True,0.1401830227409255,True,37.63,False,0.8995720876861658,13.0,-0.98,0,True,▆██▃▆▆▃▄▄▅▆▃▇▇▆▆▁▃▃▄,False,True,False,5,0.024371163798291073,0.3367098547310561,0.05774992784977917,0.33649529815200396,FLAT,True,92,70.0,BUILDING,BUILDING,,RED,B,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,25.6
INVPRECQ,960.0,942.8,999.0,889.0,False,True,True,True,True,True,2.31796391669096,2.748,2.5249461237151496,True,0.2792263726426544,False,55.27,False,0.784695108965713,23.0,-0.74,0,True,▁▇██▄▇▅▅▆▆▅█▇▅▇▇▄▂▂▃,False,False,False,4,0.1578122173310017,0.5192277259059979,0.1911909813824898,0.5190131693269457,FLAT,True,97,69.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,25.6
BIRLACABLE,382.55,380.05,395.0,359.1,False,True,True,True,False,True,2.0813386964280656,28.108817625,2.2383667021661386,True,0.42387847183168226,True,40.69,False,0.8590822240285445,26.0,-0.6,0,False,▂▂▃▄▂▃▁▃▃▄▃▄▃▃█▂▂▂▂▂,False,False,False,8,0.34336482073252106,1.1507280598189689,0.37674358478400916,1.1505135032399167,FLAT,True,100,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,25.6
MOREPENLAB,114.73,106.45,116.0,97.04,False,True,True,True,False,True,1.8557266482874992,451.979041514,2.0008478268724645,True,0.2895976833062925,True,22.26,False,0.804466850978479,6.0,-1.55,0,False,▄▃▂▄▆█▆▆▃▃▂▃█▄▃▂▄██▁,False,False,False,11,0.29755711377516403,0.9458955223880599,0.3309358778266521,0.9456809658090077,FLAT,True,99,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Health Technology,30.1
UFBL,811.05,809.0,828.9,783.0,False,True,True,True,True,True,0.6606451474355552,8.982297645,0.7336182503286376,False,0.3020118661306201,True,62.37,True,1.0503271220834771,64.0,0.47,0,True,▁▂▃▁▃▄▂▂▃▆▅▃▃▂▂█▃▄▁▃,False,False,False,5,0.09608757348469488,0.6647167487684729,0.12946633753618297,0.6645021921894207,FLAT,True,99,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Consumer Services,27.5
UNIMECH,1515.8,1530.9,1568.5,1430.1,True,False,True,True,False,True,2.1380204367070137,69.68708604,2.1003351710980973,False,0.103807873332,True,35.1,False,0.7871984928849368,10.0,-1.23,0,False,██▆▅▄▅▅▅▁▄▇▅▅▅▅▄▅▆▆▂,False,True,False,7,0.011612386545648556,0.3023455623335336,0.04499115059713665,0.3021310057544815,FLAT,True,91,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,25.6
NPST,1834.6,1730.0,1934.0,1673.5,False,True,True,True,True,True,62.655149438416146,555.51192658,68.72526731119835,True,0.14526165068298158,True,9.88,False,0.20390894268672738,0.0,-3.49,0,False,▇▇▆█▆▃▆▅▆▆▄▆▆▆▆▅▅▇▇▁,False,False,False,5,0.15079663781206865,0.16719684438223692,0.18417540186355674,0.1669822878031848,UP,True,81,68.0,WATCH,NONE,,RED,C,NO_DEPLOY,CMF positive,Technology Services,22.8
YUKEN,1134.95,1077.6,1153.85,1029.35,False,True,True,True,True,True,2.2327319437146027,7.5950854,2.4977924529544655,True,0.09270759691542324,False,45.78,False,0.7767286794085462,3.0,-1.87,0,False,▆▄█▅▅▆█▃▅▆▇▇▄▇▄▅▁▄▄▂,False,False,False,13,0.21009702526921847,0.49877847474413994,0.24347578932070657,0.4985639181650878,FLAT,True,97,67.0,WATCH,NONE,,RED,C,NO_DEPLOY,"CMF positive, RS leader",Producer Manufacturing,25.6
