symbol,close,price_down,close_gt_ema20,close_gt_ema50,close_gt_ema200,breakout20,within_15pct_52w_high,volume_ratio,turnover_cr,turnover_ratio,up_day_volume_above_avg,cmf20,cmf_rising,latest_delivery_pct,latest_delivery_above_avg20,delivery_ratio,delivery_percentile,delivery_zscore,consecutive_high_delivery_days,delivery_slope_positive,delivery_sparkline,stock_return_20d,stock_return_50d,rs_raw_20,rs_raw_50,rs_trend,outperform_benchmark_50d,rs_percentile,ics,rating,stage,delivery_tag,regime,action_rank,action,reason
ABCAPITAL,401.75,False,True,True,True,True,True,1.513482096156429,262.299883275,1.6101841697158097,True,0.13051242559562276,True,57.3,True,1.1923092929377002,91.0,1.28,0,True,▃▃▁▄▅▆▂▇▄▂▃▃▃█▃▄▃▅▂▆,0.13601017955605843,0.14556601083547194,0.09584058280411711,0.0993444207711438,FLAT,True,71,76.0,BUILDING,BREAKOUT,,GREEN,B,WATCH_FOR_ENTRY,"Delivery P91, CMF positive"
DLF,677.2,False,True,True,True,True,False,1.5774839564949952,452.45573984000004,1.736267050406743,True,0.2451716703787117,True,62.28,True,1.3626517886445686,95.0,1.68,0,True,▂▁▄▅▃▄▆▆█▁▂▃▃▃▃▂▄▅▆▇,0.17203184492904144,0.11464077030697073,0.13186224817710013,0.0684191802426426,UP,True,65,76.0,BUILDING,BREAKOUT,,GREEN,B,WATCH_FOR_ENTRY,"Delivery P95, CMF positive"
ETERNAL,289.3,False,True,True,True,True,False,1.5173049297170567,1307.84065082,1.6830817828939664,True,0.0796439659456486,True,65.45,True,1.2406406975642121,92.0,1.48,0,True,▅▆▂▄▂▁▄▆▅▂▅▂▂▆▆▄▄▅▆█,0.16512283527990324,0.11303477993228683,0.12495323852796192,0.0668131898679587,UP,True,64,76.0,BUILDING,BREAKOUT,,GREEN,B,WATCH_FOR_ENTRY,"Delivery P92, CMF positive"
360ONE,1150.1,False,True,True,True,True,True,2.10645330037222,213.40393024999997,2.1886233088202953,True,0.07506859364971305,True,68.08,True,1.2298243237140405,93.0,1.26,0,True,█▄▄▆▃▁▄█▇▅▆▇▇▇▅▆▅▃▇█,0.06986046511627908,0.10368984213809318,0.029690868364337764,0.05746825207376505,FLAT,True,63,76.0,BUILDING,BREAKOUT,,GREEN,B,WATCH_FOR_ENTRY,"Delivery P93, CMF positive"
STYL,349.0,False,True,True,True,True,False,2.885245575290056,20.2327864,3.3801470028929437,True,0.2589009317528154,True,63.34,True,1.1641670342596677,78.0,0.67,0,True,▆▄▅▇▇▁▆▄▆▇▄▅▅▅▄▄▃▅▃█,0.3287645155149439,0.4038051566710912,0.2885949187630026,0.35758356660676305,FLAT,True,93,74.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,"CMF positive, RS leader"
SUYOG,901.4,False,True,True,True,True,True,2.233911523015395,9.6621066,2.467590936449881,True,0.09170512818744629,True,57.52,True,1.0209080259841683,54.0,-0.02,0,True,▇▅▄█▁▇▃▆▆▆▅██▅▃▄▆▄▇▆,0.2878062718765626,0.17530477866875271,0.24763667512462129,0.12908318860442458,UP,True,76,74.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,CMF positive
CEATLTD,3915.0,False,True,True,True,True,True,3.2505964961409872,201.7732275,3.6050388286621518,True,0.32394004582004604,True,49.25,True,1.0226435075114981,81.0,0.74,0,True,▃█▃▄▂▃▄▃▃▆▆▂▂▃▃▄▁▃▂▄,0.2478883116055206,0.10743380855397144,0.2077187148535793,0.06121221848964331,UP,True,63,74.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,CMF positive
PAYTM,1246.0,False,True,True,True,True,True,1.5652667489590895,456.404816,1.730751385277421,True,0.15045373655323463,True,43.85,True,1.135039991716926,66.0,0.38,0,True,▁▃▂▂▂▂▂▃▃▅▃▃▃█▅▄▄▅▅▄,0.1623134328358209,0.10065809814054161,0.12214383608387958,0.054436508076213475,UP,True,62,74.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,CMF positive
VENUSREM,1797.5,False,True,True,True,True,True,1.7646673076254629,44.25894375,2.1710958540240632,True,0.4306109637173773,True,44.1,False,0.6447886891489814,16.0,-0.95,0,True,▃▅▃▄▃▅▃████▅█▄▄▂▁▂▃▂,0.9713753016012285,1.0834540712836858,0.9312057048492872,1.0372324812193576,FLAT,True,100,72.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,"CMF positive, RS leader"
IOLCP,165.04,False,True,True,True,True,True,12.309276673167998,679.4938253519999,14.776525419442189,True,0.1448145776940088,True,23.55,False,0.5972988396423817,5.0,-1.76,0,True,▆▄█▇▅▆▅▇▃▅▄▂▂▂▃▅▆▄▄▁,0.24239686841312857,0.7882760862498643,0.20222727166118726,0.7420544961855362,FLAT,True,99,72.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,"CMF positive, RS leader"
CYIENTDLM,536.8,False,True,True,True,True,True,6.749768883447723,127.14263671999998,7.513385342235938,True,0.21645913352185864,True,21.96,False,0.4196485729846454,2.0,-2.68,0,True,▆▆▆▅▅█▆▅▅▇█▆▆▆▇▇▅▁▄▁,0.20996280852022986,0.3416645838540362,0.16979321176828854,0.29544299378970806,FLAT,True,91,72.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,"CMF positive, RS leader"
BHAGYANGR,276.0,False,True,True,True,True,True,4.031814094917344,55.9844472,5.6121670223747735,True,0.1649743389507399,True,32.67,False,0.7760832383124289,8.0,-1.71,0,False,▅▅▅██▁▃▃▃▂▅▄▇▆█▇▇▇▂▃,0.8778065042862977,0.6453055141579731,0.8376369075343564,0.599083924093645,UP,True,98,70.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,"CMF positive, RS leader"
AEGISVOPAK,294.32,False,True,True,True,True,True,5.739142100555828,338.56821596,6.843671399850703,True,0.5424033126127198,True,10.68,False,0.2885316763474267,0.0,-2.85,0,False,▃▃▃▅▅▄▅▆▆▆▆▅▅▄▇▄█▃▁▁,0.5355559033755934,0.48421583459404927,0.49538630662365213,0.43799424452972113,UP,True,95,70.0,BUILDING,NONE,,GREEN,B,WATCH_FOR_ENTRY,"CMF positive, RS leader"
